outage_id,feeder_id,region_id,asset_id,outage_start,outage_end,duration_minutes,customers_interrupted,critical_customers_interrupted,cause_category,saidi_minutes,saifi_count,crew_response_minutes,restoration_notes
OUT-0000686,FDR-TSV-0072,REG-TSV,,2025-05-10T16:51,2025-05-10T20:09,198,526,10,equipment_failure,89.02,0.4496,84,Helicopter inspection required.
OUT-0000687,FDR-TSV-0069,REG-TSV,AST-TSV-POL-003634,2025-09-10T20:05,2025-09-11T02:58,413,232,4,flood,226.52,0.5485,79,Vegetation contact confirmed at span.
OUT-0000688,FDR-CQI-0095,REG-CQI,AST-CQI-POL-005250,2025-11-25T06:32,2025-11-25T11:21,289,455,13,flood,105.87,0.3663,46,Restoration delayed by access issues.
OUT-0000689,FDR-CQI-0105,REG-CQI,AST-CQI-POL-005891,2023-06-21T13:58,2023-06-21T18:58,300,95,11,equipment_failure,37.4,0.1247,73,Restoration delayed by access issues.
OUT-0000690,FDR-MKY-0045,REG-MKY,AST-MKY-POL-002337,2026-01-08T00:36,2026-01-08T04:32,236,486,5,vegetation,134.94,0.5718,126,Vegetation contact confirmed at span.
OUT-0000691,FDR-MKY-0059,REG-MKY,,2024-03-15T06:11,2024-03-15T08:43,152,306,4,unknown,58.65,0.3859,121,Restoration delayed by access issues.
OUT-0000692,FDR-TSV-0066,REG-TSV,AST-TSV-SEC-003340,2024-08-18T12:35,2024-08-18T17:35,300,904,12,planned,192.34,0.6411,73,Crew rerouted via alternate access track.
OUT-0000693,FDR-SEQ-0013,REG-SEQ,AST-SEQ-CON-000737,2026-03-05T05:27,2026-03-05T11:02,335,1045,32,unknown,182.33,0.5443,24,Vegetation contact confirmed at span.
OUT-0000694,FDR-TSV-0088,REG-TSV,,2025-07-11T19:26,2025-07-11T23:46,260,82,2,storm,107.14,0.4121,106,Helicopter inspection required.
OUT-0000695,FDR-MKY-0061,REG-MKY,AST-MKY-POL-003146,2025-02-14T03:18,2025-02-14T06:28,190,1,1,vehicle_impact,0.24,0.0013,72,Helicopter inspection required.
OUT-0000696,FDR-MKY-0044,REG-MKY,AST-MKY-SWI-002280,2026-01-27T02:09,2026-01-27T04:21,132,271,5,unknown,54.04,0.4094,51,Crew rerouted via alternate access track.
OUT-0000697,FDR-MKY-0044,REG-MKY,AST-MKY-POL-002288,2025-11-21T20:56,2025-11-21T23:39,163,547,7,equipment_failure,134.68,0.8263,80,Vegetation contact confirmed at span.
OUT-0000698,FDR-MKY-0043,REG-MKY,,2024-12-19T10:57,2024-12-19T13:13,136,872,8,flood,109.91,0.8082,67,Switched to alternate feeder during restoration.
OUT-0000699,FDR-MKY-0055,REG-MKY,AST-MKY-TRA-002766,2024-06-06T12:22,2024-06-06T14:44,142,209,0,storm,79.35,0.5588,64,Crew rerouted via alternate access track.
OUT-0000700,FDR-SEQ-0029,REG-SEQ,,2025-04-22T13:19,2025-04-22T15:39,140,6,0,flood,42.0,0.3,68,Storm cell passed through feeder.
OUT-0000701,FDR-TSV-0083,REG-TSV,AST-TSV-TRA-004501,2024-11-29T04:53,2024-11-29T08:10,197,203,0,flood,91.3,0.4635,86,Switched to alternate feeder during restoration.
OUT-0000702,FDR-TSV-0083,REG-TSV,,2024-07-27T16:29,2024-07-27T20:12,223,243,5,storm,123.72,0.5548,68,Storm cell passed through feeder.
OUT-0000703,FDR-TSV-0074,REG-TSV,AST-TSV-CON-003904,2024-10-27T18:05,2024-10-27T20:37,152,121,2,storm,34.0,0.2237,122,Lightning strike at substation transformer.
OUT-0000704,FDR-TSV-0068,REG-TSV,AST-TSV-POL-003570,2024-08-20T05:01,2024-08-20T06:29,88,688,10,lightning,45.18,0.5134,85,Storm cell passed through feeder.
OUT-0000705,FDR-TSV-0074,REG-TSV,AST-TSV-POL-003892,2026-02-04T06:37,2026-02-04T10:10,213,156,6,vegetation,61.42,0.2884,65,Switched to alternate feeder during restoration.
OUT-0000706,FDR-MKY-0056,REG-MKY,AST-MKY-CON-002806,2025-09-04T13:13,2025-09-04T17:34,261,227,8,storm,46.72,0.179,59,Restoration delayed by access issues.
OUT-0000707,FDR-MKY-0052,REG-MKY,,2024-06-25T08:55,2024-06-25T12:52,237,1,0,vegetation,0.96,0.0041,87,Switched to alternate feeder during restoration.
OUT-0000708,FDR-TSV-0065,REG-TSV,AST-TSV-CON-003331,2024-05-26T00:34,2024-05-26T03:09,155,28,0,equipment_failure,22.49,0.1451,82,Lightning strike at substation transformer.
OUT-0000709,FDR-TSV-0067,REG-TSV,AST-TSV-POL-003474,2025-10-06T18:45,2025-10-06T21:45,180,109,2,storm,28.27,0.1571,91,Lightning strike at substation transformer.
OUT-0000710,FDR-MKY-0059,REG-MKY,AST-MKY-POL-003058,2023-11-22T08:09,2023-11-22T10:37,148,278,0,vegetation,51.88,0.3506,101,Helicopter inspection required.
OUT-0000711,FDR-MKY-0062,REG-MKY,AST-MKY-POL-003205,2023-10-30T00:11,2023-10-30T03:33,202,159,7,vegetation,66.77,0.3306,75,Helicopter inspection required.
OUT-0000712,FDR-TSV-0084,REG-TSV,,2025-01-19T11:49,2025-01-19T14:14,145,226,7,flood,35.74,0.2465,83,Storm cell passed through feeder.
OUT-0000713,FDR-MKY-0051,REG-MKY,AST-MKY-SEC-002652,2025-12-19T12:54,2025-12-19T15:33,159,358,3,vegetation,114.53,0.7203,78,Lightning strike at substation transformer.
OUT-0000714,FDR-TSV-0084,REG-TSV,AST-TSV-POL-004558,2025-09-26T08:36,2025-09-26T12:36,240,233,5,vegetation,60.98,0.2541,46,Storm cell passed through feeder.
OUT-0000715,FDR-TSV-0066,REG-TSV,,2026-04-05T16:11,2026-04-05T18:50,159,420,10,storm,47.36,0.2979,77,Switched to alternate feeder during restoration.
OUT-0000716,FDR-MKY-0048,REG-MKY,,2025-08-19T13:24,2025-08-19T16:06,162,104,0,lightning,97.95,0.6047,91,Helicopter inspection required.
OUT-0000717,FDR-MKY-0049,REG-MKY,AST-MKY-POL-002523,2024-04-28T04:16,2024-04-28T09:13,297,164,3,equipment_failure,130.58,0.4397,85,Vegetation contact confirmed at span.
OUT-0000718,FDR-MKY-0050,REG-MKY,,2025-02-02T19:18,2025-02-02T21:43,145,342,3,equipment_failure,98.59,0.6799,95,Switched to alternate feeder during restoration.
OUT-0000719,FDR-CQI-0108,REG-CQI,,2025-03-29T03:45,2025-03-29T06:39,174,196,7,equipment_failure,39.7,0.2282,36,Vegetation contact confirmed at span.
OUT-0000720,FDR-SEQ-0002,REG-SEQ,,2025-08-21T04:29,2025-08-21T05:10,41,121,4,storm,20.25,0.4939,36,Switched to alternate feeder during restoration.
OUT-0000721,FDR-TSV-0069,REG-TSV,AST-TSV-SWI-003587,2023-08-25T17:24,2023-08-25T20:55,211,238,5,vegetation,118.72,0.5626,81,Helicopter inspection required.
OUT-0000722,FDR-TSV-0082,REG-TSV,,2025-04-24T21:52,2025-04-25T02:24,272,170,13,equipment_failure,27.64,0.1016,60,Restoration delayed by access issues.
OUT-0000723,FDR-TSV-0065,REG-TSV,,2025-06-21T18:29,2025-06-21T23:06,277,138,3,flood,198.06,0.715,81,Restoration delayed by access issues.
OUT-0000724,FDR-TSV-0077,REG-TSV,AST-TSV-POL-004072,2026-02-15T18:10,2026-02-15T22:47,277,825,8,storm,201.7,0.7282,91,Restoration delayed by access issues.
OUT-0000725,FDR-TSV-0084,REG-TSV,AST-TSV-SEC-004556,2023-12-06T18:43,2023-12-06T21:35,172,297,2,flood,55.71,0.3239,79,Vegetation contact confirmed at span.
OUT-0000726,FDR-MKY-0057,REG-MKY,AST-MKY-POL-002901,2024-09-18T11:51,2024-09-18T14:40,169,935,5,vegetation,165.63,0.9801,65,Helicopter inspection required.
OUT-0000727,FDR-TSV-0079,REG-TSV,AST-TSV-RIN-004228,2024-12-07T05:27,2024-12-07T08:38,191,99,3,flood,49.5,0.2592,80,Crew rerouted via alternate access track.
OUT-0000728,FDR-TSV-0065,REG-TSV,AST-TSV-POL-003333,2026-01-24T22:19,2026-01-25T01:36,197,111,0,flood,113.3,0.5751,92,Lightning strike at substation transformer.
OUT-0000729,FDR-TSV-0070,REG-TSV,,2025-01-04T03:09,2025-01-04T07:38,269,135,4,vehicle_impact,107.76,0.4006,71,Helicopter inspection required.
OUT-0000730,FDR-MKY-0051,REG-MKY,,2024-07-05T01:46,2024-07-05T04:01,135,45,2,storm,12.22,0.0905,80,Restoration delayed by access issues.
OUT-0000731,FDR-TSV-0072,REG-TSV,,2025-07-19T16:19,2025-07-19T21:39,320,459,6,storm,125.54,0.3923,66,Restoration delayed by access issues.
OUT-0000732,FDR-MKY-0063,REG-MKY,AST-MKY-POL-003266,2023-06-01T05:03,2023-06-01T06:58,115,190,5,planned,22.86,0.1987,73,Crew rerouted via alternate access track.
OUT-0000733,FDR-TSV-0067,REG-TSV,,2026-02-02T04:32,2026-02-02T07:41,189,142,4,vehicle_impact,38.67,0.2046,43,Restoration delayed by access issues.
OUT-0000734,FDR--RW-0122,REG-RW,,2026-01-09T11:12,2026-01-09T16:52,340,28,0,vegetation,114.7,0.3373,127,Storm cell passed through feeder.
OUT-0000735,FDR-MKY-0063,REG-MKY,,2026-01-12T01:08,2026-01-12T04:46,218,339,5,vegetation,77.3,0.3546,53,Crew rerouted via alternate access track.
OUT-0000736,FDR-TSV-0075,REG-TSV,AST-TSV-CON-003974,2025-07-11T12:50,2025-07-11T16:07,197,90,1,flood,70.36,0.3571,87,Switched to alternate feeder during restoration.
OUT-0000737,FDR-TSV-0083,REG-TSV,AST-TSV-POL-004511,2023-09-17T12:26,2023-09-17T17:06,280,246,4,vehicle_impact,157.26,0.5616,62,Vegetation contact confirmed at span.
OUT-0000738,FDR-TSV-0086,REG-TSV,AST-TSV-POL-004744,2026-04-14T09:25,2026-04-14T14:28,303,394,6,storm,103.63,0.342,77,Vegetation contact confirmed at span.
OUT-0000739,FDR-TSV-0068,REG-TSV,,2025-09-09T16:05,2025-09-09T19:46,221,616,8,equipment_failure,101.59,0.4597,96,Lightning strike at substation transformer.
OUT-0000740,FDR-TSV-0075,REG-TSV,AST-TSV-CON-003963,2025-08-07T18:07,2025-08-08T01:29,442,139,0,storm,243.8,0.5516,14,Switched to alternate feeder during restoration.
OUT-0000741,FDR-MKY-0056,REG-MKY,AST-MKY-SWI-002793,2024-12-07T02:47,2024-12-07T04:24,97,814,8,storm,62.27,0.642,92,Lightning strike at substation transformer.
OUT-0000742,FDR-TSV-0065,REG-TSV,AST-TSV-POL-003322,2023-12-27T09:14,2023-12-27T13:00,226,100,3,vegetation,117.1,0.5181,83,Switched to alternate feeder during restoration.
OUT-0000743,FDR-TSV-0084,REG-TSV,,2025-10-02T18:20,2025-10-03T01:39,439,326,9,vegetation,156.07,0.3555,37,Switched to alternate feeder during restoration.
OUT-0000744,FDR-TSV-0080,REG-TSV,AST-TSV-TRA-004306,2026-03-19T19:18,2026-03-19T22:07,169,289,3,vegetation,104.14,0.6162,67,Restoration delayed by access issues.
OUT-0000745,FDR-SEQ-0027,REG-SEQ,AST-SEQ-TRA-001489,2024-07-31T16:56,2024-07-31T20:19,203,1345,33,storm,129.95,0.6402,68,Lightning strike at substation transformer.
OUT-0000746,FDR-TSV-0074,REG-TSV,,2025-06-30T23:50,2025-07-01T04:24,274,202,2,flood,102.31,0.3734,78,Restoration delayed by access issues.
OUT-0000747,FDR-MKY-0049,REG-MKY,AST-MKY-POL-002543,2024-01-05T05:18,2024-01-05T07:53,155,154,0,equipment_failure,63.99,0.4129,60,Storm cell passed through feeder.
OUT-0000748,FDR-MKY-0059,REG-MKY,AST-MKY-POL-003058,2025-02-23T11:08,2025-02-23T16:34,326,492,3,equipment_failure,202.26,0.6204,88,Switched to alternate feeder during restoration.
OUT-0000749,FDR-TSV-0081,REG-TSV,AST-TSV-CON-004363,2026-01-16T04:16,2026-01-16T06:34,138,573,7,equipment_failure,68.7,0.4978,62,Switched to alternate feeder during restoration.
OUT-0000750,FDR-MKY-0059,REG-MKY,AST-MKY-SEC-003061,2025-09-29T12:57,2025-09-29T16:55,238,16,3,flood,4.8,0.0202,73,Helicopter inspection required.
OUT-0000751,FDR-MKY-0043,REG-MKY,AST-MKY-POL-002220,2024-08-19T22:23,2024-08-20T02:11,228,532,8,equipment_failure,112.42,0.493,93,Helicopter inspection required.
OUT-0000752,FDR--RW-0125,REG-RW,,2024-11-26T22:12,2024-11-27T03:03,291,70,1,vehicle_impact,141.46,0.4861,112,Vegetation contact confirmed at span.
OUT-0000753,FDR-TSV-0070,REG-TSV,AST-TSV-POL-003664,2024-01-03T18:31,2024-01-03T22:15,224,154,3,equipment_failure,102.36,0.457,36,Helicopter inspection required.
OUT-0000754,FDR-TSV-0065,REG-TSV,AST-TSV-RIN-003320,2024-12-07T22:17,2024-12-08T00:32,135,125,0,vehicle_impact,87.44,0.6477,78,Lightning strike at substation transformer.
OUT-0000755,FDR-TSV-0074,REG-TSV,AST-TSV-TRA-003885,2025-04-17T20:05,2025-04-18T00:22,257,167,3,vegetation,79.33,0.3087,103,Crew rerouted via alternate access track.
OUT-0000756,FDR--RW-0109,REG-RW,AST--RW-POL-006126,2024-03-15T10:02,2024-03-15T16:45,403,97,5,storm,150.35,0.3731,95,Switched to alternate feeder during restoration.
OUT-0000757,FDR-MKY-0046,REG-MKY,,2023-10-28T06:36,2023-10-28T11:47,311,390,6,vegetation,121.78,0.3916,68,Crew rerouted via alternate access track.
OUT-0000758,FDR-MKY-0050,REG-MKY,,2025-03-03T01:00,2025-03-03T05:29,269,132,4,flood,70.59,0.2624,84,Lightning strike at substation transformer.
OUT-0000759,FDR-CQI-0103,REG-CQI,,2023-08-06T04:14,2023-08-06T07:44,210,294,7,storm,84.81,0.4038,64,Restoration delayed by access issues.
OUT-0000760,FDR-MKY-0057,REG-MKY,,2023-05-23T10:11,2023-05-23T13:43,212,450,10,storm,100.0,0.4717,74,Restoration delayed by access issues.
OUT-0000761,FDR-MKY-0044,REG-MKY,AST-MKY-POL-002284,2024-04-11T13:34,2024-04-11T15:56,142,251,5,vehicle_impact,53.84,0.3792,64,Vegetation contact confirmed at span.
OUT-0000762,FDR-TSV-0070,REG-TSV,AST-TSV-POL-003660,2024-05-07T07:47,2024-05-07T11:40,233,122,2,vegetation,84.35,0.362,89,Helicopter inspection required.
OUT-0000763,FDR-MKY-0050,REG-MKY,AST-MKY-POL-002594,2025-05-26T06:43,2025-05-26T10:52,249,252,3,equipment_failure,124.75,0.501,86,Lightning strike at substation transformer.
OUT-0000764,FDR-TSV-0079,REG-TSV,,2024-06-10T09:56,2024-06-10T16:02,366,50,4,vegetation,47.91,0.1309,83,Crew rerouted via alternate access track.
OUT-0000765,FDR--RW-0117,REG-RW,,2026-03-17T22:34,2026-03-18T03:18,284,48,1,vegetation,86.83,0.3057,114,Crew rerouted via alternate access track.
OUT-0000766,FDR-TSV-0080,REG-TSV,AST-TSV-RIN-004326,2024-04-11T14:32,2024-04-11T15:50,78,179,2,flood,29.77,0.3817,84,Storm cell passed through feeder.
OUT-0000767,FDR--RW-0114,REG-RW,AST--RW-POL-006651,2025-10-09T07:25,2025-10-09T10:08,163,27,0,vehicle_impact,20.38,0.125,140,Vegetation contact confirmed at span.
OUT-0000768,FDR-TSV-0079,REG-TSV,,2025-05-24T07:06,2025-05-24T10:05,179,1,1,vegetation,0.47,0.0026,83,Storm cell passed through feeder.
OUT-0000769,FDR-SEQ-0008,REG-SEQ,,2024-03-16T13:59,2024-03-16T14:54,55,1239,31,lightning,36.21,0.6583,35,Switched to alternate feeder during restoration.
OUT-0000770,FDR-MKY-0044,REG-MKY,AST-MKY-TRA-002293,2026-02-13T22:45,2026-02-14T02:15,210,155,5,flood,49.17,0.2341,39,Vegetation contact confirmed at span.
OUT-0000771,FDR-TSV-0079,REG-TSV,AST-TSV-POL-004243,2026-04-17T02:35,2026-04-17T08:11,336,172,3,equipment_failure,151.29,0.4503,68,Helicopter inspection required.
OUT-0000772,FDR-MKY-0047,REG-MKY,,2023-12-11T10:24,2023-12-11T13:40,196,300,10,vehicle_impact,46.01,0.2347,92,Storm cell passed through feeder.
OUT-0000773,FDR-TSV-0085,REG-TSV,,2023-07-03T06:25,2023-07-03T09:51,206,1080,12,equipment_failure,123.05,0.5973,115,Switched to alternate feeder during restoration.
OUT-0000774,FDR-TSV-0069,REG-TSV,,2025-02-04T10:04,2025-02-04T15:15,311,123,2,lightning,90.43,0.2908,76,Vegetation contact confirmed at span.
OUT-0000775,FDR-MKY-0050,REG-MKY,,2023-08-31T19:54,2023-08-31T22:39,165,145,2,flood,47.56,0.2883,46,Restoration delayed by access issues.
OUT-0000776,FDR-TSV-0069,REG-TSV,AST-TSV-TRA-003606,2024-06-07T19:09,2024-06-07T22:45,216,108,4,equipment_failure,55.15,0.2553,105,Crew rerouted via alternate access track.
OUT-0000777,FDR-TSV-0071,REG-TSV,AST-TSV-TRA-003723,2024-05-18T03:27,2024-05-18T06:18,171,110,0,flood,47.14,0.2757,88,Restoration delayed by access issues.
OUT-0000778,FDR-CQI-0104,REG-CQI,,2026-05-10T11:05,2026-05-10T14:24,199,2,0,storm,19.9,0.1,60,Crew rerouted via alternate access track.
OUT-0000779,FDR-MKY-0046,REG-MKY,,2024-04-03T08:43,2024-04-03T13:56,313,406,10,vegetation,127.59,0.4076,49,Restoration delayed by access issues.
OUT-0000780,FDR--RW-0114,REG-RW,AST--RW-SWI-006621,2026-04-06T13:36,2026-04-06T21:07,451,95,0,planned,198.36,0.4398,148,Crew rerouted via alternate access track.
OUT-0000781,FDR-TSV-0081,REG-TSV,,2024-11-01T18:28,2024-11-01T21:46,198,1036,9,equipment_failure,178.22,0.9001,118,Lightning strike at substation transformer.
OUT-0000782,FDR-TSV-0084,REG-TSV,AST-TSV-SEC-004581,2026-04-09T12:46,2026-04-09T14:36,110,433,2,vegetation,51.94,0.4722,105,Storm cell passed through feeder.
OUT-0000783,FDR-MKY-0045,REG-MKY,,2026-01-07T08:47,2026-01-07T11:32,165,568,4,equipment_failure,110.26,0.6682,65,Vegetation contact confirmed at span.
OUT-0000784,FDR-MKY-0061,REG-MKY,AST-MKY-SWI-003111,2025-02-03T02:31,2025-02-03T04:11,100,392,4,planned,50.06,0.5006,102,Helicopter inspection required.
OUT-0000785,FDR-TSV-0071,REG-TSV,AST-TSV-POL-003722,2024-07-09T05:03,2024-07-09T09:09,246,148,4,storm,91.25,0.3709,57,Restoration delayed by access issues.
OUT-0000786,FDR-SEQ-0021,REG-SEQ,AST-SEQ-POL-001140,2025-09-08T03:12,2025-09-08T03:17,5,1297,38,planned,2.77,0.555,76,Restoration delayed by access issues.
OUT-0000787,FDR-TSV-0068,REG-TSV,AST-TSV-CON-003535,2026-01-03T15:33,2026-01-03T17:13,100,696,11,equipment_failure,51.94,0.5194,88,Helicopter inspection required.
OUT-0000788,FDR-MKY-0046,REG-MKY,AST-MKY-SEC-002393,2025-03-10T05:31,2025-03-10T09:49,258,413,8,flood,106.98,0.4147,41,Restoration delayed by access issues.
OUT-0000789,FDR-SEQ-0023,REG-SEQ,AST-SEQ-POL-001237,2024-11-25T02:01,2024-11-25T06:59,298,361,42,storm,44.31,0.1487,65,Restoration delayed by access issues.
OUT-0000790,FDR-MKY-0047,REG-MKY,,2023-05-19T20:22,2023-05-20T02:18,356,68,4,vegetation,18.94,0.0532,78,Crew rerouted via alternate access track.
OUT-0000791,FDR--RW-0124,REG-RW,AST--RW-SWI-007499,2024-06-21T21:51,2024-06-22T04:53,422,34,1,equipment_failure,57.62,0.1365,124,Vegetation contact confirmed at span.
OUT-0000792,FDR-MKY-0059,REG-MKY,AST-MKY-SWI-003049,2024-08-18T21:37,2024-08-19T00:32,175,206,4,storm,45.46,0.2598,71,Lightning strike at substation transformer.
OUT-0000793,FDR-MKY-0052,REG-MKY,AST-MKY-SEC-002667,2024-01-17T02:15,2024-01-17T03:37,82,81,2,equipment_failure,27.0,0.3293,69,Switched to alternate feeder during restoration.
OUT-0000794,FDR-TSV-0067,REG-TSV,,2023-11-01T20:52,2023-11-02T03:25,393,268,8,vegetation,151.76,0.3862,68,Vegetation contact confirmed at span.
OUT-0000795,FDR-TSV-0068,REG-TSV,AST-TSV-POL-003582,2026-05-10T01:00,2026-05-10T04:52,232,974,9,flood,168.63,0.7269,84,Vegetation contact confirmed at span.
OUT-0000796,FDR-TSV-0067,REG-TSV,,2023-12-23T02:51,2023-12-23T06:16,205,396,6,unknown,116.97,0.5706,51,Helicopter inspection required.
OUT-0000797,FDR-TSV-0065,REG-TSV,AST-TSV-SWI-003321,2025-09-16T11:59,2025-09-16T16:47,288,129,1,unknown,192.5,0.6684,112,Vegetation contact confirmed at span.
OUT-0000798,FDR-CQI-0104,REG-CQI,AST-CQI-POL-005874,2023-07-31T08:24,2023-07-31T12:04,220,7,0,lightning,77.0,0.35,65,Crew rerouted via alternate access track.
OUT-0000799,FDR-MKY-0058,REG-MKY,AST-MKY-CON-002959,2023-09-20T03:48,2023-09-20T05:59,131,225,4,storm,35.6,0.2717,91,Vegetation contact confirmed at span.
OUT-0000800,FDR-TSV-0087,REG-TSV,AST-TSV-CON-004792,2023-11-25T09:00,2023-11-25T12:47,227,627,15,lightning,83.43,0.3675,59,Lightning strike at substation transformer.
OUT-0000801,FDR-TSV-0088,REG-TSV,AST-TSV-POL-004864,2023-05-18T15:29,2023-05-18T21:37,368,48,1,storm,88.76,0.2412,102,Storm cell passed through feeder.
OUT-0000802,FDR-TSV-0079,REG-TSV,AST-TSV-POL-004212,2025-06-12T23:28,2025-06-13T03:06,218,123,3,vegetation,70.19,0.322,72,Switched to alternate feeder during restoration.
OUT-0000803,FDR-TSV-0080,REG-TSV,,2026-05-04T05:57,2026-05-04T09:19,202,288,5,equipment_failure,124.04,0.6141,69,Helicopter inspection required.
OUT-0000804,FDR-MKY-0044,REG-MKY,AST-MKY-TRA-002262,2024-01-06T00:33,2024-01-06T02:15,102,343,4,vegetation,52.85,0.5181,94,Switched to alternate feeder during restoration.
OUT-0000805,FDR-CQI-0094,REG-CQI,,2025-07-07T18:32,2025-07-07T20:12,100,293,4,vehicle_impact,56.24,0.5624,61,Crew rerouted via alternate access track.
OUT-0000806,FDR-TSV-0081,REG-TSV,AST-TSV-POL-004412,2025-07-24T14:13,2025-07-24T16:25,132,555,7,flood,63.65,0.4822,63,Vegetation contact confirmed at span.
OUT-0000807,FDR-SEQ-0010,REG-SEQ,,2026-02-27T10:45,2026-02-27T12:07,82,464,27,equipment_failure,22.98,0.2802,97,Lightning strike at substation transformer.
OUT-0000808,FDR-MKY-0050,REG-MKY,AST-MKY-SEC-002599,2023-11-27T21:08,2023-11-27T22:50,102,259,6,equipment_failure,52.52,0.5149,59,Restoration delayed by access issues.
OUT-0000809,FDR-TSV-0076,REG-TSV,,2024-12-07T14:25,2024-12-07T17:32,187,701,9,lightning,109.42,0.5851,70,Lightning strike at substation transformer.
OUT-0000810,FDR-CQI-0104,REG-CQI,AST-CQI-POL-005853,2026-05-02T02:50,2026-05-02T06:16,206,12,0,lightning,123.6,0.6,63,Switched to alternate feeder during restoration.
OUT-0000811,FDR-TSV-0084,REG-TSV,AST-TSV-TRA-004519,2025-04-14T12:50,2025-04-14T14:57,127,401,6,storm,55.54,0.4373,60,Lightning strike at substation transformer.
OUT-0000812,FDR-TSV-0070,REG-TSV,AST-TSV-POL-003701,2023-12-08T04:57,2023-12-08T09:26,269,96,0,unknown,76.63,0.2849,96,Helicopter inspection required.
OUT-0000813,FDR-TSV-0078,REG-TSV,,2024-10-05T06:29,2024-10-05T10:50,261,404,10,equipment_failure,84.36,0.3232,87,Lightning strike at substation transformer.
OUT-0000814,FDR-TSV-0079,REG-TSV,,2024-05-13T00:25,2024-05-13T04:41,256,112,2,vegetation,75.06,0.2932,78,Vegetation contact confirmed at span.
OUT-0000815,FDR-MKY-0056,REG-MKY,AST-MKY-POL-002819,2025-10-28T12:56,2025-10-28T14:57,121,451,11,equipment_failure,43.04,0.3557,60,Helicopter inspection required.
OUT-0000816,FDR-TSV-0072,REG-TSV,AST-TSV-CON-003813,2023-11-07T07:59,2023-11-07T12:36,277,497,12,vegetation,117.67,0.4248,105,Restoration delayed by access issues.
OUT-0000817,FDR--RW-0123,REG-RW,,2026-01-10T20:47,2026-01-11T01:30,283,83,4,storm,53.02,0.1874,138,Lightning strike at substation transformer.
OUT-0000818,FDR-TSV-0066,REG-TSV,,2026-02-10T06:07,2026-02-10T09:44,217,578,11,equipment_failure,88.95,0.4099,96,Vegetation contact confirmed at span.
OUT-0000819,FDR-MKY-0047,REG-MKY,AST-MKY-POL-002462,2024-07-25T04:54,2024-07-25T06:26,92,463,6,vegetation,33.33,0.3623,75,Crew rerouted via alternate access track.
OUT-0000820,FDR-TSV-0081,REG-TSV,AST-TSV-POL-004423,2023-07-27T13:15,2023-07-27T17:17,242,177,7,vegetation,37.21,0.1538,66,Storm cell passed through feeder.
OUT-0000821,FDR-MKY-0055,REG-MKY,,2024-04-20T16:42,2024-04-20T18:05,83,223,0,flood,49.49,0.5963,95,Restoration delayed by access issues.
OUT-0000822,FDR-TSV-0080,REG-TSV,,2025-08-25T13:31,2025-08-25T18:26,295,323,4,storm,203.17,0.6887,93,Helicopter inspection required.
OUT-0000823,FDR-TSV-0084,REG-TSV,,2025-01-12T01:31,2025-01-12T04:51,200,273,5,planned,59.54,0.2977,52,Helicopter inspection required.
OUT-0000824,FDR-MKY-0052,REG-MKY,AST-MKY-POL-002674,2024-07-15T12:53,2024-07-15T13:04,11,201,0,vegetation,8.99,0.8171,62,Restoration delayed by access issues.
OUT-0000825,FDR-TSV-0073,REG-TSV,AST-TSV-POL-003870,2024-12-31T00:19,2024-12-31T06:03,344,126,7,vegetation,44.05,0.128,76,Switched to alternate feeder during restoration.
OUT-0000826,FDR-MKY-0046,REG-MKY,AST-MKY-SEC-002407,2024-07-11T08:04,2024-07-11T10:46,162,472,8,storm,76.77,0.4739,73,Vegetation contact confirmed at span.
OUT-0000827,FDR-MKY-0050,REG-MKY,AST-MKY-POL-002608,2023-06-07T19:59,2023-06-07T22:48,169,218,4,equipment_failure,73.24,0.4334,73,Restoration delayed by access issues.
OUT-0000828,FDR-TSV-0086,REG-TSV,AST-TSV-CON-004745,2024-02-06T11:59,2024-02-06T15:51,232,792,8,lightning,159.5,0.6875,67,Storm cell passed through feeder.
OUT-0000829,FDR-MKY-0064,REG-MKY,,2025-04-10T10:19,2025-04-10T14:28,249,3,0,storm,37.35,0.15,45,Helicopter inspection required.
OUT-0000830,FDR-TSV-0072,REG-TSV,,2025-11-25T02:04,2025-11-25T07:04,300,456,8,vegetation,116.92,0.3897,59,Helicopter inspection required.
OUT-0000831,FDR-SEQ-0018,REG-SEQ,,2026-05-10T17:05,2026-05-10T20:14,189,842,26,vehicle_impact,88.66,0.4691,38,Lightning strike at substation transformer.
OUT-0000832,FDR-MKY-0047,REG-MKY,,2026-05-02T17:01,2026-05-02T18:27,86,533,7,lightning,35.87,0.4171,68,Crew rerouted via alternate access track.
OUT-0000833,FDR-MKY-0043,REG-MKY,,2024-05-25T18:59,2024-05-26T00:41,342,178,6,planned,56.42,0.165,83,Storm cell passed through feeder.
OUT-0000834,FDR-MKY-0064,REG-MKY,AST-MKY-TRA-003278,2023-11-26T03:06,2023-11-26T07:07,241,10,0,vegetation,120.5,0.5,97,Restoration delayed by access issues.
OUT-0000835,FDR-TSV-0071,REG-TSV,,2026-03-25T04:36,2026-03-25T09:51,315,86,6,vegetation,67.89,0.2155,106,Storm cell passed through feeder.
OUT-0000836,FDR-TSV-0079,REG-TSV,AST-TSV-POL-004231,2024-12-21T07:26,2024-12-21T11:30,244,263,2,flood,167.99,0.6885,68,Storm cell passed through feeder.
