asset_id,condition_score,failure_probability_12m,failure_probability_36m,health_band,risk_score,risk_band,risk_drivers,last_scored_at
AST-SEQ-POL-000631,65.3,0.0067,0.0173,watch,28.3,low,age,2026-05-03
AST-SEQ-POL-000632,85.0,0.0438,0.1352,good,33.9,medium,criticality,2026-05-05
AST-SEQ-SWI-000633,87.2,0.007,0.0199,good,23.7,low,criticality,2026-05-14
AST-SEQ-POL-000634,59.2,0.0489,0.1053,watch,46.4,medium,age,2026-05-13
AST-SEQ-POL-000635,89.4,0.0038,0.0098,good,19.8,low,criticality,2026-05-03
AST-SEQ-POL-000636,91.1,0.0025,0.0053,good,18.4,low,,2026-05-17
AST-SEQ-CON-000637,83.6,0.0384,0.0934,good,44.9,medium,age|criticality,2026-05-10
AST-SEQ-POL-000638,62.4,0.0344,0.0761,watch,45.2,medium,age|criticality,2026-05-09
AST-SEQ-POL-000639,87.4,0.0158,0.0335,good,20.3,low,criticality,2026-05-12
AST-SEQ-POL-000640,53.9,0.0386,0.0904,poor,45.5,medium,age,2026-05-09
AST-SEQ-TRA-000641,92.7,0.0104,0.0226,good,15.8,low,,2026-05-17
AST-SEQ-CON-000642,79.4,0.0091,0.0261,good,26.1,low,age|criticality,2026-05-11
AST-SEQ-POL-000643,81.0,0.0011,0.0034,good,23.2,low,criticality,2026-05-14
AST-SEQ-TRA-000644,73.3,0.0551,0.1204,watch,36.9,medium,age,2026-05-06
AST-SEQ-POL-000645,76.8,0.0067,0.0177,good,25.5,low,,2026-05-07
AST-SEQ-POL-000646,91.6,0.0189,0.045,good,20.6,low,,2026-05-14
AST-SEQ-TRA-000647,65.2,0.0512,0.163,watch,32.1,medium,age|criticality,2026-05-12
AST-SEQ-SWI-000648,76.3,0.007,0.0147,good,28.4,low,,2026-05-16
AST-SEQ-CON-000649,75.1,0.0438,0.1084,watch,40.3,medium,criticality,2026-05-14
AST-SEQ-POL-000650,88.4,0.0173,0.0513,good,20.2,low,criticality,2026-05-09
AST-SEQ-POL-000651,73.6,0.0083,0.0231,watch,23.9,low,,2026-05-14
AST-SEQ-TRA-000652,71.2,0.0053,0.0133,watch,29.3,low,,2026-05-05
AST-SEQ-POL-000653,84.5,0.0078,0.0193,good,18.3,low,,2026-05-11
AST-SEQ-POL-000654,66.1,0.0533,0.1319,watch,39.0,medium,age|criticality,2026-05-17
AST-SEQ-TRA-000655,84.2,0.0179,0.0393,good,25.2,low,,2026-05-03
AST-SEQ-POL-000656,80.0,0.0106,0.0299,good,30.9,low,,2026-05-10
AST-SEQ-CON-000657,67.5,0.0475,0.1074,watch,31.9,medium,age,2026-05-16
AST-SEQ-POL-000658,69.5,0.0035,0.0109,watch,30.1,low,,2026-05-05
AST-SEQ-POL-000659,83.7,0.0347,0.0943,good,35.6,medium,criticality,2026-05-16
AST-SEQ-POL-000660,63.6,0.0229,0.0724,watch,31.3,medium,age|criticality,2026-05-17
AST-SEQ-CON-000661,92.7,0.0053,0.0109,good,23.1,low,,2026-05-07
AST-SEQ-SWI-000662,69.7,0.0113,0.0274,watch,26.0,low,,2026-05-04
AST-SEQ-POL-000663,64.9,0.0399,0.0862,watch,36.1,medium,age,2026-05-13
AST-SEQ-POL-000664,60.3,0.0211,0.0552,watch,37.2,medium,age|criticality,2026-05-12
AST-SEQ-RIN-000665,61.9,0.0168,0.0494,watch,28.9,low,age,2026-05-09
AST-SEQ-RIN-000666,96.4,0.0146,0.0314,good,21.4,low,criticality,2026-05-10
AST-SEQ-POL-000667,68.1,0.0113,0.0301,watch,26.5,low,,2026-05-04
AST-SEQ-POL-000668,63.1,0.0268,0.0687,watch,46.4,medium,age,2026-05-14
AST-SEQ-POL-000669,79.7,0.0104,0.0259,good,25.7,low,,2026-05-17
AST-SEQ-SEC-000670,80.9,0.042,0.1338,good,32.4,medium,criticality,2026-05-06
AST-SEQ-SWI-000671,78.9,0.0449,0.1287,good,45.2,medium,criticality,2026-05-17
AST-SEQ-POL-000672,61.1,0.0442,0.1391,watch,37.0,medium,age,2026-05-07
AST-SEQ-TRA-000673,71.7,0.0388,0.1185,watch,33.7,medium,age|criticality,2026-05-11
AST-SEQ-SWI-000674,62.2,0.039,0.1043,watch,32.5,medium,age,2026-05-17
AST-SEQ-POL-000675,60.5,0.0209,0.0495,watch,38.1,medium,age,2026-05-11
AST-SEQ-TRA-000676,76.1,0.0031,0.0077,good,22.4,low,,2026-05-05
AST-SEQ-CON-000677,72.2,0.0084,0.0239,watch,25.2,low,,2026-05-08
AST-SEQ-CON-000678,69.1,0.0133,0.0274,watch,27.7,low,age,2026-05-06
AST-SEQ-SWI-000679,95.3,0.0181,0.0391,good,8.7,low,,2026-05-05
AST-SEQ-POL-000680,81.3,0.0125,0.0372,good,26.4,low,,2026-05-11
AST-SEQ-POL-000681,94.5,0.0049,0.0122,good,13.5,low,criticality,2026-05-13
AST-SEQ-POL-000682,70.4,0.0044,0.0117,watch,30.9,low,age,2026-05-05
AST-SEQ-POL-000683,86.7,0.0083,0.0203,good,20.6,low,,2026-05-05
AST-SEQ-POL-000684,79.7,0.0136,0.0387,good,26.2,low,criticality,2026-05-03
AST-SEQ-POL-000685,81.1,0.0022,0.0069,good,24.9,low,criticality,2026-05-14
AST-SEQ-POL-000686,75.1,0.0132,0.0405,watch,27.7,low,criticality,2026-05-08
AST-SEQ-POL-000687,94.4,0.0062,0.015,good,13.6,low,,2026-05-06
AST-SEQ-SWI-000688,55.9,0.0342,0.1025,poor,41.4,medium,age,2026-05-03
AST-SEQ-POL-000689,65.3,0.0206,0.0523,watch,37.6,medium,age,2026-05-16
AST-SEQ-POL-000690,66.3,0.0595,0.1215,watch,40.1,medium,age|criticality,2026-05-06
AST-SEQ-POL-000691,74.5,0.0193,0.058,watch,29.3,low,criticality,2026-05-03
AST-SEQ-POL-000692,82.5,0.0153,0.0453,good,26.4,low,,2026-05-05
AST-SEQ-POL-000693,70.3,0.0443,0.0991,watch,33.7,medium,age,2026-05-09
AST-SEQ-POL-000694,92.5,0.0093,0.0292,good,11.0,low,,2026-05-07
AST-SEQ-TRA-000695,67.8,0.0078,0.016,watch,27.9,low,criticality,2026-05-11
AST-SEQ-TRA-000696,99,0.012,0.038,good,13.9,low,criticality,2026-05-07
AST-SEQ-CON-000697,55.5,0.0392,0.1018,poor,42.8,medium,age|criticality,2026-05-05
AST-SEQ-TRA-000698,70.0,0.0055,0.0168,watch,29.2,low,,2026-05-10
AST-SEQ-TRA-000699,85.2,0.0126,0.035,good,20.6,low,,2026-05-07
AST-SEQ-POL-000700,93.1,0.0145,0.0393,good,24.6,low,,2026-05-15
AST-SEQ-POL-000701,65.8,0.0451,0.1114,watch,40.8,medium,age,2026-05-04
AST-SEQ-POL-000702,99,0.0048,0.0111,good,14.2,low,,2026-05-06
AST-SEQ-POL-000703,87.9,0.0136,0.0412,good,16.4,low,criticality,2026-05-10
AST-SEQ-POL-000704,82.0,0.0273,0.0637,good,34.7,medium,criticality,2026-05-14
AST-SEQ-POL-000705,88.0,0.0051,0.0139,good,18.1,low,,2026-05-11
AST-SEQ-TRA-000706,86.2,0.0189,0.06,good,29.2,low,criticality,2026-05-15
AST-SEQ-POL-000707,58.9,0.0528,0.1591,watch,42.9,medium,age|criticality,2026-05-07
AST-SEQ-POL-000708,80.8,0.0164,0.0467,good,30.4,low,,2026-05-05
AST-SEQ-REC-000709,56.3,0.0268,0.0676,watch,41.8,medium,age,2026-05-12
AST-SEQ-RIN-000710,96.0,0.0182,0.0442,good,19.3,low,criticality,2026-05-10
AST-SEQ-POL-000711,85.6,0.0157,0.0361,good,19.6,low,criticality,2026-05-08
AST-SEQ-CON-000712,93.9,0.0107,0.0293,good,18.3,low,,2026-05-10
AST-SEQ-TRA-000713,68.9,0.0485,0.1486,watch,46.9,medium,age|criticality,2026-05-10
AST-SEQ-POL-000714,56.5,0.0268,0.077,watch,38.9,medium,age|criticality,2026-05-03
AST-SEQ-POL-000715,67.6,0.0446,0.112,watch,39.1,medium,criticality,2026-05-03
AST-SEQ-POL-000716,63.9,0.0436,0.092,watch,32.9,medium,age|criticality,2026-05-04
AST-SEQ-SEC-000717,93.0,0.0041,0.0116,good,11.9,low,,2026-05-17
AST-SEQ-POL-000718,92.5,0.0093,0.0204,good,23.7,low,,2026-05-14
AST-SEQ-TRA-000719,92.5,0.0043,0.0132,good,18.1,low,,2026-05-08
AST-SEQ-REC-000720,89.7,0.008,0.0243,good,21.7,low,,2026-05-13
AST-SEQ-POL-000721,66.8,0.0205,0.0568,watch,35.2,medium,age,2026-05-10
AST-SEQ-POL-000722,83.2,0.0061,0.0187,good,15.0,low,criticality,2026-05-04
AST-SEQ-POL-000723,84.1,0.02,0.0562,good,27.0,low,criticality,2026-05-17
AST-SEQ-POL-000724,90.6,0.0132,0.0313,good,16.4,low,,2026-05-08
AST-SEQ-CON-000725,98.6,0.0098,0.0206,good,21.4,low,criticality,2026-05-15
AST-SEQ-POL-000726,67.8,0.0199,0.0599,watch,29.3,low,,2026-05-15
AST-SEQ-TRA-000727,99,0.0131,0.0408,good,23.2,low,,2026-05-11
AST-SEQ-POL-000728,83.2,0.0021,0.0061,good,21.9,low,,2026-05-10
AST-SEQ-RIN-000729,86.2,0.0251,0.0744,good,33.7,medium,age,2026-05-03
AST-SEQ-TRA-000730,80.4,0.0069,0.015,good,19.5,low,criticality,2026-05-14
AST-SEQ-POL-000731,92.2,0.0196,0.0431,good,19.5,low,,2026-05-10
AST-SEQ-POL-000732,88.2,0.0551,0.147,good,31.3,medium,,2026-05-11
AST-SEQ-TRA-000733,84.3,0.019,0.0396,good,30.5,low,criticality,2026-05-14
AST-SEQ-POL-000734,90.7,0.0113,0.0316,good,19.5,low,criticality,2026-05-12
AST-SEQ-POL-000735,89.2,0.003,0.0096,good,25.5,low,criticality,2026-05-03
AST-SEQ-TRA-000736,81.0,0.0575,0.1674,good,31.8,medium,,2026-05-17
AST-SEQ-CON-000737,58.2,0.0227,0.0674,watch,35.7,medium,age,2026-05-12
AST-SEQ-POL-000738,50.9,0.0392,0.1068,poor,39.9,medium,age|criticality,2026-05-14
AST-SEQ-POL-000739,83.2,0.0165,0.0354,good,15.7,low,,2026-05-09
AST-SEQ-POL-000740,83.7,0.0181,0.0545,good,29.2,low,,2026-05-07
AST-SEQ-POL-000741,73.3,0.0178,0.0408,watch,25.4,low,age|criticality,2026-05-10
AST-SEQ-POL-000742,87.1,0.0088,0.0177,good,26.2,low,criticality,2026-05-10
AST-SEQ-POL-000743,43.2,0.0262,0.058,poor,47.3,medium,age|condition|criticality,2026-05-14
AST-SEQ-POL-000744,68.1,0.0065,0.0164,watch,29.3,low,,2026-05-17
AST-SEQ-TRA-000745,60.0,0.0156,0.0496,watch,29.0,low,age,2026-05-07
AST-SEQ-POL-000746,95.4,0.0181,0.0481,good,10.9,low,,2026-05-15
AST-SEQ-POL-000747,73.4,0.028,0.0672,watch,40.9,medium,age|criticality,2026-05-07
AST-SEQ-POL-000748,57.4,0.0383,0.1179,watch,43.2,medium,age,2026-05-13
AST-SEQ-POL-000749,77.2,0.0159,0.045,good,22.1,low,,2026-05-09
AST-SEQ-POL-000750,89.0,0.0129,0.031,good,27.9,low,,2026-05-11
AST-SEQ-CON-000751,82.5,0.0134,0.0347,good,24.2,low,criticality,2026-05-12
AST-SEQ-POL-000752,96.3,0.0305,0.083,good,33.0,medium,criticality,2026-05-09
AST-SEQ-POL-000753,72.1,0.0392,0.1024,watch,33.7,medium,,2026-05-04
AST-SEQ-POL-000754,88.7,0.0108,0.0266,good,24.5,low,criticality,2026-05-08
AST-SEQ-POL-000755,80.8,0.0014,0.0038,good,12.5,low,,2026-05-11
AST-SEQ-POL-000756,65.1,0.0516,0.1167,watch,34.1,medium,age,2026-05-11
AST-SEQ-POL-000757,69.3,0.0471,0.112,watch,34.9,medium,age,2026-05-14
AST-SEQ-POL-000758,66.8,0.0302,0.0761,watch,34.7,medium,age,2026-05-09
AST-SEQ-CON-000759,58.5,0.0532,0.1098,watch,38.7,medium,age,2026-05-07
AST-SEQ-POL-000760,75.0,0.0276,0.0637,watch,38.6,medium,criticality,2026-05-14
AST-SEQ-POL-000761,87.0,0.0039,0.0086,good,28.1,low,criticality,2026-05-12
AST-SEQ-POL-000762,65.9,0.0236,0.075,watch,38.6,medium,age,2026-05-15
AST-SEQ-POL-000763,73.1,0.0518,0.1421,watch,38.2,medium,age,2026-05-05
AST-SEQ-POL-000764,73.2,0.0129,0.0412,watch,26.8,low,,2026-05-16
AST-SEQ-POL-000765,65.4,0.036,0.1119,watch,38.1,medium,age|criticality,2026-05-13
AST-SEQ-SEC-000766,78.7,0.0016,0.0035,good,28.5,low,,2026-05-15
AST-SEQ-TRA-000767,77.7,0.0087,0.022,good,30.3,low,age,2026-05-10
AST-SEQ-RIN-000768,64.0,0.0241,0.0541,watch,35.5,medium,age,2026-05-03
AST-SEQ-POL-000769,88.6,0.0416,0.1233,good,31.3,medium,criticality,2026-05-14
AST-SEQ-POL-000770,76.3,0.0342,0.0701,good,37.3,medium,,2026-05-03
AST-SEQ-POL-000771,85.2,0.0068,0.0147,good,23.9,low,criticality,2026-05-12
AST-SEQ-SEC-000772,61.0,0.0328,0.0909,watch,32.2,medium,criticality,2026-05-12
AST-SEQ-CON-000773,80.6,0.004,0.0103,good,22.4,low,,2026-05-16
AST-SEQ-TRA-000774,68.4,0.0562,0.1218,watch,37.6,medium,,2026-05-07
AST-SEQ-POL-000775,93.3,0.0014,0.004,good,24.9,low,,2026-05-17
AST-SEQ-POL-000776,65.1,0.0382,0.1087,watch,42.2,medium,age|criticality,2026-05-15
AST-SEQ-POL-000777,94.0,0.0167,0.0409,good,13.4,low,,2026-05-17
AST-SEQ-POL-000778,72.7,0.0339,0.0851,watch,34.3,medium,criticality,2026-05-17
AST-SEQ-POL-000779,81.4,0.0077,0.0212,good,27.9,low,criticality,2026-05-05
AST-SEQ-POL-000780,67.1,0.0196,0.0493,watch,29.5,low,age,2026-05-09
AST-SEQ-POL-000781,73.2,0.015,0.0309,watch,26.0,low,criticality,2026-05-04
AST-SEQ-POL-000782,59.1,0.0226,0.072,watch,39.3,medium,age|criticality,2026-05-11
AST-SEQ-POL-000783,81.0,0.0108,0.0226,good,29.7,low,,2026-05-17
AST-SEQ-POL-000784,57.4,0.0542,0.1454,watch,43.8,medium,age|criticality,2026-05-06
AST-SEQ-TRA-000785,69.8,0.0385,0.12,watch,33.8,medium,,2026-05-14
AST-SEQ-SWI-000786,63.5,0.0554,0.1424,watch,45.0,medium,age|criticality,2026-05-16
AST-SEQ-POL-000787,61.8,0.0309,0.097,watch,37.5,medium,age|criticality,2026-05-04
AST-SEQ-POL-000788,84.6,0.0164,0.0445,good,17.8,low,,2026-05-07
AST-SEQ-SWI-000789,65.6,0.0227,0.0571,watch,34.7,medium,,2026-05-10
AST-SEQ-TRA-000790,92.2,0.0028,0.0075,good,14.1,low,criticality,2026-05-15
AST-SEQ-POL-000791,92.3,0.0042,0.0132,good,18.2,low,,2026-05-10
AST-SEQ-POL-000792,55.1,0.0265,0.0809,poor,42.3,medium,age|criticality,2026-05-08
AST-SEQ-CON-000793,66.4,0.0011,0.0025,watch,25.6,low,age,2026-05-10
AST-SEQ-TRA-000794,50.2,0.0463,0.1444,poor,45.1,medium,age,2026-05-06
AST-SEQ-POL-000795,87.3,0.0058,0.013,good,11.0,low,,2026-05-12
AST-SEQ-POL-000796,83.5,0.0181,0.0564,good,21.5,low,,2026-05-14
AST-SEQ-RIN-000797,59.5,0.0477,0.1024,watch,40.8,medium,age,2026-05-17
AST-SEQ-POL-000798,90.2,0.02,0.0594,good,23.7,low,criticality,2026-05-10
AST-SEQ-POL-000799,74.1,0.0397,0.0952,watch,31.4,medium,,2026-05-15
AST-SEQ-POL-000800,56.5,0.0294,0.0795,watch,44.1,medium,age,2026-05-10
AST-SEQ-POL-000801,74.9,0.0071,0.0214,watch,22.7,low,criticality,2026-05-09
AST-SEQ-POL-000802,87.3,0.0068,0.0199,good,19.3,low,,2026-05-13
AST-SEQ-TRA-000803,76.3,0.055,0.1643,good,35.2,medium,,2026-05-05
AST-SEQ-POL-000804,87.3,0.0117,0.0295,good,15.7,low,,2026-05-03
AST-SEQ-POL-000805,90.9,0.0088,0.0212,good,13.6,low,,2026-05-09
AST-SEQ-SWI-000806,80.4,0.0107,0.023,good,27.8,low,criticality,2026-05-04
AST-SEQ-POL-000807,81.5,0.0058,0.0133,good,27.6,low,criticality,2026-05-17
AST-SEQ-SWI-000808,69.1,0.0564,0.1604,watch,37.9,medium,age,2026-05-07
AST-SEQ-POL-000809,63.6,0.057,0.1313,watch,34.5,medium,age,2026-05-11
AST-SEQ-POL-000810,86.8,0.0053,0.0137,good,25.1,low,,2026-05-03
AST-SEQ-TRA-000811,65.3,0.0352,0.0858,watch,41.5,medium,age|criticality,2026-05-08
AST-SEQ-TRA-000812,94.7,0.0102,0.0231,good,16.6,low,criticality,2026-05-07
AST-SEQ-POL-000813,71.6,0.0318,0.0984,watch,31.1,medium,age,2026-05-03
AST-SEQ-REC-000814,76.9,0.0122,0.0353,good,15.1,low,,2026-05-14
AST-SEQ-POL-000815,80.1,0.0173,0.0396,good,19.2,low,,2026-05-06
AST-SEQ-POL-000816,87.2,0.016,0.034,good,18.4,low,,2026-05-04
AST-SEQ-CON-000817,99,0.0132,0.0358,good,19.3,low,,2026-05-11
AST-SEQ-SWI-000818,76.5,0.0352,0.0881,good,34.7,medium,age|criticality,2026-05-09
AST-SEQ-TRA-000819,66.3,0.0397,0.0891,watch,42.2,medium,age,2026-05-08
AST-SEQ-POL-000820,95.3,0.0168,0.0439,good,18.5,low,criticality,2026-05-08
AST-SEQ-POL-000821,56.5,0.0515,0.116,watch,49.3,medium,age,2026-05-04
AST-SEQ-SEC-000822,48.2,0.0218,0.0468,poor,45.0,medium,age,2026-05-16
AST-SEQ-POL-000823,58.0,0.0281,0.0635,watch,39.2,medium,age|criticality,2026-05-03
AST-SEQ-POL-000824,99,0.0011,0.0033,good,24.1,low,,2026-05-05
AST-SEQ-TRA-000825,92.7,0.0181,0.0577,good,17.7,low,,2026-05-07
AST-SEQ-POL-000826,59.2,0.0205,0.0544,watch,35.4,medium,age|criticality,2026-05-08
AST-SEQ-CON-000827,84.9,0.0031,0.007,good,15.5,low,,2026-05-17
AST-SEQ-POL-000828,75.9,0.0182,0.0469,watch,27.9,low,,2026-05-10
AST-SEQ-POL-000829,65.0,0.0242,0.0583,watch,40.5,medium,age|criticality,2026-05-05
AST-SEQ-TRA-000830,78.0,0.0115,0.0311,good,27.3,low,,2026-05-16
AST-SEQ-POL-000831,85.4,0.0012,0.0029,good,25.4,low,,2026-05-10
AST-SEQ-POL-000832,87.4,0.0016,0.005,good,15.4,low,criticality,2026-05-13
AST-SEQ-POL-000833,80.1,0.016,0.0404,good,29.2,low,age|criticality,2026-05-14
AST-SEQ-TRA-000834,99,0.016,0.0408,good,15.6,low,,2026-05-03
AST-SEQ-POL-000835,83.9,0.0082,0.0183,good,26.0,low,,2026-05-06
AST-SEQ-POL-000836,67.0,0.0478,0.1159,watch,34.0,medium,age|criticality,2026-05-04
AST-SEQ-POL-000837,93.3,0.0093,0.0274,good,18.0,low,,2026-05-09
AST-SEQ-RIN-000838,86.8,0.0022,0.007,good,13.7,low,,2026-05-05
AST-SEQ-POL-000839,80.6,0.0511,0.1442,good,33.7,medium,criticality,2026-05-05
AST-SEQ-TRA-000840,59.7,0.0312,0.0677,watch,38.5,medium,age|criticality,2026-05-13
AST-SEQ-POL-000841,79.5,0.018,0.0559,good,21.0,low,criticality,2026-05-07
AST-SEQ-SWI-000842,85.8,0.008,0.0191,good,25.4,low,,2026-05-07
AST-SEQ-POL-000843,76.3,0.0334,0.0853,good,47.1,medium,age|criticality,2026-05-07
AST-SEQ-REC-000844,92.7,0.012,0.0248,good,31.0,low,,2026-05-06
AST-SEQ-CON-000845,85.5,0.0226,0.0662,good,31.8,medium,criticality,2026-05-08
AST-SEQ-POL-000846,63.9,0.0174,0.0431,watch,29.3,low,criticality,2026-05-08
AST-SEQ-SEC-000847,50.2,0.0312,0.0884,poor,36.9,medium,age,2026-05-08
AST-SEQ-POL-000848,55.9,0.0502,0.1442,poor,35.7,medium,age,2026-05-15
AST-SEQ-POL-000849,87.6,0.0012,0.0028,good,19.8,low,criticality,2026-05-16
AST-SEQ-POL-000850,80.7,0.0383,0.0776,good,32.3,medium,criticality,2026-05-07
AST-SEQ-POL-000851,61.9,0.0475,0.1408,watch,41.1,medium,age|criticality,2026-05-07
AST-SEQ-TRA-000852,80.2,0.018,0.0497,good,27.0,low,criticality,2026-05-13
AST-SEQ-POL-000853,96.1,0.0129,0.0406,good,20.6,low,criticality,2026-05-06
AST-SEQ-POL-000854,63.0,0.0534,0.1497,watch,38.4,medium,age|criticality,2026-05-07
AST-SEQ-POL-000855,60.8,0.0264,0.0816,watch,39.2,medium,age|criticality,2026-05-14
AST-SEQ-SWI-000856,92.3,0.0023,0.0056,good,18.5,low,,2026-05-16
AST-SEQ-CON-000857,95.4,0.0134,0.0394,good,20.7,low,,2026-05-08
AST-SEQ-POL-000858,91.2,0.0131,0.0355,good,19.9,low,,2026-05-15
AST-SEQ-TRA-000859,99,0.0056,0.0129,good,23.9,low,criticality,2026-05-09
AST-SEQ-TRA-000860,69.0,0.0178,0.0469,watch,27.7,low,age,2026-05-05
AST-SEQ-CON-000861,74.7,0.0434,0.1215,watch,31.8,medium,criticality,2026-05-09
AST-SEQ-SWI-000862,66.3,0.0344,0.0815,watch,33.6,medium,age,2026-05-07
AST-SEQ-CON-000863,61.3,0.0386,0.0974,watch,39.1,medium,age,2026-05-12
AST-SEQ-SWI-000864,66.6,0.0313,0.0893,watch,37.8,medium,age|criticality,2026-05-07
AST-SEQ-POL-000865,79.2,0.018,0.0385,good,21.4,low,age,2026-05-05
AST-SEQ-REC-000866,94.3,0.0196,0.0548,good,29.3,low,criticality,2026-05-03
AST-SEQ-REC-000867,89.2,0.0074,0.0172,good,19.8,low,,2026-05-11
AST-SEQ-POL-000868,44.5,0.041,0.113,poor,50.8,medium,age|condition|criticality,2026-05-16
AST-SEQ-POL-000869,86.8,0.0155,0.031,good,13.6,low,,2026-05-16
AST-SEQ-TRA-000870,83.9,0.0053,0.0107,good,21.4,low,criticality,2026-05-12
AST-SEQ-SEC-000871,70.7,0.0496,0.1094,watch,37.6,medium,criticality,2026-05-10
AST-SEQ-POL-000872,78.6,0.0056,0.0145,good,21.8,low,criticality,2026-05-05
AST-SEQ-POL-000873,53.4,0.0432,0.1139,poor,47.3,medium,age,2026-05-16
AST-SEQ-POL-000874,99,0.0152,0.031,good,19.7,low,criticality,2026-05-08
AST-SEQ-POL-000875,89.5,0.056,0.1546,good,31.5,medium,,2026-05-11
AST-SEQ-TRA-000876,99,0.0085,0.0247,good,16.0,low,criticality,2026-05-10
AST-SEQ-POL-000877,96.3,0.0187,0.0499,good,13.5,low,,2026-05-04
AST-SEQ-POL-000878,91.4,0.0135,0.0367,good,22.4,low,,2026-05-03
AST-SEQ-POL-000879,66.9,0.0402,0.1102,watch,37.0,medium,age,2026-05-05
AST-SEQ-POL-000880,68.2,0.06,0.1483,watch,32.4,medium,age,2026-05-14
AST-SEQ-POL-000881,99,0.0186,0.043,good,15.1,low,,2026-05-05
AST-SEQ-POL-000882,78.8,0.0126,0.0368,good,21.1,low,,2026-05-12
AST-SEQ-TRA-000883,88.2,0.0139,0.0379,good,25.3,low,criticality,2026-05-04
AST-SEQ-POL-000884,71.8,0.0546,0.162,watch,35.8,medium,age,2026-05-10
AST-SEQ-TRA-000885,66.3,0.0523,0.1264,watch,39.6,medium,age|criticality,2026-05-14
AST-SEQ-CON-000886,60.5,0.0592,0.1614,watch,45.3,medium,age,2026-05-11
AST-SEQ-TRA-000887,56.3,0.0548,0.1139,watch,35.9,medium,age|criticality,2026-05-04
AST-SEQ-TRA-000888,95.6,0.0034,0.0108,good,18.3,low,criticality,2026-05-16
AST-SEQ-POL-000889,77.1,0.015,0.0423,good,27.9,low,age,2026-05-12
AST-SEQ-TRA-000890,63.2,0.0377,0.0883,watch,42.7,medium,age|criticality,2026-05-11
AST-SEQ-POL-000891,88.5,0.011,0.0221,good,16.4,low,,2026-05-10
AST-SEQ-POL-000892,68.8,0.0285,0.0893,watch,33.4,medium,age,2026-05-16
AST-SEQ-POL-000893,80.8,0.0536,0.1272,good,40.1,medium,criticality,2026-05-06
AST-SEQ-POL-000894,85.3,0.0284,0.0752,good,37.3,medium,criticality,2026-05-08
AST-SEQ-POL-000895,63.6,0.0894,0.2641,watch,58.0,high,age|criticality,2026-05-03
AST-SEQ-SWI-000896,65.5,0.0343,0.0857,watch,50.9,medium,age|criticality,2026-05-04
AST-SEQ-POL-000897,78.4,0.059,0.1452,good,44.2,medium,criticality,2026-05-17
AST-SEQ-POL-000898,75.5,0.0399,0.0816,watch,33.8,medium,criticality,2026-05-12
AST-SEQ-CON-000899,47.1,0.0272,0.0831,poor,48.2,medium,age|criticality,2026-05-10
AST-SEQ-TRA-000900,93.3,0.0524,0.1506,good,36.4,medium,criticality,2026-05-09
AST-SEQ-POL-000901,75.2,0.0233,0.0578,watch,46.4,medium,criticality,2026-05-15
AST-SEQ-POL-000902,80.4,0.0362,0.0747,good,43.1,medium,criticality|flood_exposure,2026-05-12
AST-SEQ-POL-000903,62.0,0.0204,0.0421,watch,50.6,medium,age|criticality|flood_exposure,2026-05-17
AST-SEQ-POL-000904,64.3,0.0299,0.0885,watch,45.4,medium,age|criticality,2026-05-13
AST-SEQ-POL-000905,83.4,0.0575,0.169,good,33.7,medium,criticality,2026-05-13
AST-SEQ-TRA-000906,58.7,0.0565,0.1225,watch,50.9,medium,criticality|flood_exposure,2026-05-09
AST-SEQ-REC-000907,78.8,0.0264,0.0559,good,47.6,medium,criticality|coastal_corrosion|cyclone_exposure,2026-05-06
AST-SEQ-CON-000908,95.3,0.0079,0.0223,good,30.5,low,criticality,2026-05-06
AST-SEQ-TRA-000909,53.8,0.039,0.097,poor,53.3,medium,age|criticality,2026-05-06
AST-SEQ-POL-000910,78.7,0.0406,0.1214,good,50.2,medium,criticality|cyclone_exposure,2026-05-14
AST-SEQ-POL-000911,69.7,0.0473,0.122,watch,49.3,medium,criticality,2026-05-13
AST-SEQ-POL-000912,81.9,0.0351,0.1111,good,41.0,medium,criticality,2026-05-14
AST-SEQ-POL-000913,82.4,0.0178,0.0475,good,30.8,low,criticality,2026-05-10
AST-SEQ-SWI-000914,86.5,0.0521,0.1504,good,31.9,medium,criticality,2026-05-09
AST-SEQ-POL-000915,60.6,0.059,0.1505,watch,55.0,medium,age|criticality,2026-05-03
AST-SEQ-POL-000916,55.7,0.0531,0.1317,poor,52.1,medium,age|criticality,2026-05-06
AST-SEQ-POL-000917,62.5,0.0326,0.0879,watch,48.4,medium,age|criticality|flood_exposure,2026-05-10
AST-SEQ-POL-000918,62.3,0.057,0.1239,watch,41.1,medium,criticality,2026-05-14
AST-SEQ-POL-000919,69.6,0.0567,0.1572,watch,49.1,medium,criticality,2026-05-10
AST-SEQ-TRA-000920,65.3,0.0391,0.1245,watch,48.2,medium,criticality,2026-05-14
AST-SEQ-POL-000921,76.7,0.04,0.1143,good,37.8,medium,criticality|cyclone_exposure,2026-05-06
AST-SEQ-RIN-000922,61.4,0.042,0.1196,watch,55.5,medium,age|criticality,2026-05-05
AST-SEQ-TRA-000923,50.8,0.1351,0.4304,poor,60.8,high,age|criticality,2026-05-06
AST-SEQ-POL-000924,42.5,0.0723,0.2033,poor,65.1,high,age|condition|criticality|coastal_corrosion|access_difficulty,2026-05-09
AST-SEQ-POL-000925,50.7,0.0821,0.2105,poor,57.4,high,age|criticality|cyclone_exposure,2026-05-13
