work_order_id,asset_id,feeder_id,region_id,work_type,priority,status,created_date,scheduled_date,completed_date,estimated_hours,estimated_cost_aud,crew_type,depot_id
WO-0000717,AST-TSV-POL-004054,FDR-TSV-0076,REG-TSV,vegetation_treatment,urgent,approved,2025-12-11,2025-12-30,,3.3,8299.91,vegetation_crew,DEP-TSV-0006
WO-0000718,AST--RW-TRA-007415,FDR--RW-0123,REG-RW,storm_response,high,in_progress,2025-10-18,2025-12-03,,25.3,12225.96,vegetation_crew,DEP--RW-0012
WO-0000719,,FDR-MKY-0045,REG-MKY,repair,high,scheduled,2026-03-16,2026-06-10,,15.7,12729.8,line_crew,DEP-MKY-0005
WO-0000720,AST-SEQ-POL-000277,FDR-SEQ-0006,REG-SEQ,replacement,urgent,completed,2025-10-15,2025-11-17,2025-12-14,35.1,17372.96,vegetation_crew,DEP-SEQ-0003
WO-0000721,,FDR-TSV-0086,REG-TSV,storm_response,high,scheduled,2025-10-29,2025-12-28,,25.5,18366.76,vegetation_crew,DEP-TSV-0007
WO-0000722,AST-SEQ-POL-001457,FDR-SEQ-0027,REG-SEQ,replacement,high,approved,2025-08-04,2025-10-07,,35.8,20253.71,vegetation_crew,DEP-SEQ-0001
WO-0000723,AST-CQI-POL-005209,FDR-CQI-0094,REG-CQI,vegetation_treatment,urgent,scheduled,2025-12-15,2026-01-13,,25.0,15160.13,substation_crew,DEP-CQI-0009
WO-0000724,,FDR-SEQ-0019,REG-SEQ,vegetation_treatment,high,approved,2024-08-26,2024-10-23,,31.3,16335.55,line_crew,DEP-SEQ-0002
WO-0000725,AST-SEQ-POL-000072,FDR-SEQ-0002,REG-SEQ,replacement,urgent,in_progress,2025-10-13,2025-11-16,,35.0,19683.78,substation_crew,DEP-SEQ-0002
WO-0000726,,FDR-SEQ-0039,REG-SEQ,inspection,high,cancelled,2026-03-30,2026-06-06,,21.0,12644.28,vegetation_crew,DEP-SEQ-0002
WO-0000727,AST-CQI-POL-005912,FDR-CQI-0105,REG-CQI,inspection,medium,scheduled,2024-07-18,2024-10-10,,33.0,14495.48,substation_crew,DEP-CQI-0010
WO-0000728,AST-TSV-POL-004442,FDR-TSV-0082,REG-TSV,vegetation_treatment,medium,scheduled,2024-11-23,2024-12-02,,35.8,12735.32,vegetation_crew,DEP-TSV-0007
WO-0000729,AST-TSV-POL-003440,FDR-TSV-0066,REG-TSV,planned_maintenance,low,in_progress,2024-10-29,2024-11-23,,6.3,4551.03,vegetation_crew,DEP-TSV-0007
WO-0000730,,FDR--RW-0119,REG-RW,planned_maintenance,high,approved,2024-07-23,2024-10-18,,28.3,15638.08,substation_crew,DEP--RW-0013
WO-0000731,AST-SEQ-POL-001757,FDR-SEQ-0034,REG-SEQ,repair,high,scheduled,2025-10-31,2026-01-08,,10.1,10265.66,substation_crew,DEP-SEQ-0001
WO-0000732,AST-SEQ-POL-000143,FDR-SEQ-0003,REG-SEQ,repair,low,in_progress,2025-08-05,2025-09-09,,27.9,12222.54,vegetation_crew,DEP-SEQ-0002
WO-0000733,,FDR-CQI-0096,REG-CQI,replacement,medium,scheduled,2024-11-03,2024-12-26,,4.2,9926.35,line_crew,DEP-CQI-0010
WO-0000734,AST-CQI-POL-005287,FDR-CQI-0095,REG-CQI,vegetation_treatment,medium,completed,2026-04-18,2026-07-12,2026-07-18,30.9,15697.29,drone_team,DEP-CQI-0009
WO-0000735,AST-SEQ-CON-000024,FDR-SEQ-0001,REG-SEQ,repair,medium,in_progress,2025-10-23,2025-11-28,,2.4,6735.09,vegetation_crew,DEP-SEQ-0003
WO-0000736,AST-SEQ-POL-001628,FDR-SEQ-0031,REG-SEQ,replacement,medium,scheduled,2024-06-29,2024-08-20,,15.5,6049.06,substation_crew,DEP-SEQ-0002
WO-0000737,AST-MKY-POL-003266,FDR-MKY-0063,REG-MKY,inspection,high,scheduled,2024-06-25,2024-07-20,,18.2,8734.52,substation_crew,DEP-MKY-0004
WO-0000738,AST-TSV-CON-003739,FDR-TSV-0071,REG-TSV,storm_response,high,completed,2025-02-24,2025-04-23,2025-05-21,19.8,9327.97,substation_crew,DEP-TSV-0008
WO-0000739,AST-MKY-SWI-003001,FDR-MKY-0058,REG-MKY,vegetation_treatment,low,approved,2025-08-30,2025-11-18,,31.2,18103.3,line_crew,DEP-MKY-0004
WO-0000740,,FDR--RW-0124,REG-RW,storm_response,medium,approved,2025-04-29,2025-04-30,,16.6,7153.91,vegetation_crew,DEP--RW-0013
WO-0000741,AST-TSV-CON-003739,FDR-TSV-0071,REG-TSV,storm_response,medium,completed,2024-11-06,2025-01-25,2025-02-14,34.1,15427.6,vegetation_crew,DEP-TSV-0008
WO-0000742,AST-CQI-POL-005208,FDR-CQI-0094,REG-CQI,inspection,medium,in_progress,2024-08-03,2024-08-20,,31.2,11787.57,drone_team,DEP-CQI-0009
WO-0000743,AST-SEQ-POL-000214,FDR-SEQ-0005,REG-SEQ,planned_maintenance,low,scheduled,2024-05-17,2024-05-26,,13.3,10215.61,line_crew,DEP-SEQ-0003
WO-0000744,AST-TSV-POL-004227,FDR-TSV-0079,REG-TSV,repair,high,in_progress,2025-01-22,2025-03-13,,32.3,17929.9,vegetation_crew,DEP-TSV-0007
WO-0000745,AST-CQI-POL-005212,FDR-CQI-0094,REG-CQI,inspection,medium,in_progress,2025-08-05,2025-08-07,,14.3,6429.73,drone_team,DEP-CQI-0009
WO-0000746,AST--RW-TRA-006690,FDR--RW-0115,REG-RW,vegetation_treatment,low,completed,2025-09-07,2025-10-29,2025-11-14,31.3,18520.66,substation_crew,DEP--RW-0011
WO-0000747,AST--RW-POL-007624,FDR--RW-0125,REG-RW,inspection,high,scheduled,2024-12-08,2025-01-05,,2.8,8703.13,line_crew,DEP--RW-0012
WO-0000748,,FDR-TSV-0068,REG-TSV,repair,low,draft,2025-02-18,2025-04-23,,25.7,12161.23,line_crew,DEP-TSV-0008
WO-0000749,AST-TSV-POL-004644,FDR-TSV-0085,REG-TSV,inspection,low,completed,2025-07-01,2025-08-16,2025-09-01,31.3,12429.08,vegetation_crew,DEP-TSV-0006
WO-0000750,AST-SEQ-CON-000637,FDR-SEQ-0011,REG-SEQ,vegetation_treatment,high,approved,2024-11-24,2025-02-22,,32.5,10958.98,line_crew,DEP-SEQ-0001
WO-0000751,,FDR-SEQ-0008,REG-SEQ,planned_maintenance,low,in_progress,2026-02-22,2026-04-14,,28.3,15856.53,vegetation_crew,DEP-SEQ-0003
WO-0000752,,FDR--RW-0112,REG-RW,inspection,low,completed,2025-01-06,2025-03-16,2025-04-13,4.2,11197.36,vegetation_crew,DEP--RW-0012
WO-0000753,AST-TSV-POL-003631,FDR-TSV-0069,REG-TSV,vegetation_treatment,medium,completed,2025-02-04,2025-02-12,2025-03-08,17.8,7600.98,vegetation_crew,DEP-TSV-0008
WO-0000754,AST-MKY-POL-002802,FDR-MKY-0056,REG-MKY,inspection,medium,scheduled,2025-03-27,2025-05-18,,9.8,10845.64,drone_team,DEP-MKY-0004
WO-0000755,AST-CQI-SEC-005607,FDR-CQI-0100,REG-CQI,inspection,high,completed,2024-11-20,2024-12-03,2024-12-16,34.1,18184.94,drone_team,DEP-CQI-0010
WO-0000756,AST-TSV-POL-003420,FDR-TSV-0066,REG-TSV,replacement,low,approved,2026-02-28,2026-03-28,,25.1,11816.1,line_crew,DEP-TSV-0007
WO-0000757,,FDR--RW-0121,REG-RW,storm_response,medium,approved,2024-12-16,2025-03-07,,10.1,13094.4,drone_team,DEP--RW-0011
WO-0000758,,FDR--RW-0119,REG-RW,vegetation_treatment,high,completed,2026-05-05,2026-07-30,2026-08-16,32.1,9964.89,substation_crew,DEP--RW-0012
WO-0000759,AST-CQI-POL-005501,FDR-CQI-0098,REG-CQI,replacement,low,completed,2026-04-23,2026-06-30,2026-06-30,34.3,13388.42,vegetation_crew,DEP-CQI-0010
WO-0000760,AST--RW-POL-007644,FDR--RW-0125,REG-RW,access_remediation,low,completed,2025-11-14,2025-11-24,2025-12-11,34.3,10228.96,substation_crew,DEP--RW-0011
WO-0000761,AST-SEQ-TRA-000178,FDR-SEQ-0004,REG-SEQ,planned_maintenance,high,cancelled,2024-07-13,2024-08-01,,2.3,7077.64,drone_team,DEP-SEQ-0002
WO-0000762,AST-MKY-POL-003107,FDR-MKY-0061,REG-MKY,vegetation_treatment,medium,approved,2025-09-24,2025-11-29,,31.4,9487.45,substation_crew,DEP-MKY-0004
WO-0000763,,FDR-TSV-0066,REG-TSV,access_remediation,medium,scheduled,2024-06-10,2024-07-17,,4.9,10720.29,vegetation_crew,DEP-TSV-0006
WO-0000764,AST--RW-POL-007426,FDR--RW-0123,REG-RW,inspection,urgent,scheduled,2026-03-11,2026-03-28,,18.1,13079.51,substation_crew,DEP--RW-0012
WO-0000765,,FDR-MKY-0045,REG-MKY,vegetation_treatment,medium,scheduled,2024-09-12,2024-10-16,,7.5,12319.98,line_crew,DEP-MKY-0004
WO-0000766,,FDR--RW-0115,REG-RW,inspection,high,scheduled,2026-03-25,2026-06-07,,34.3,13148.87,line_crew,DEP--RW-0012
WO-0000767,AST-CQI-POL-005627,FDR-CQI-0100,REG-CQI,repair,medium,completed,2024-06-15,2024-07-28,2024-08-27,21.0,14259.26,vegetation_crew,DEP-CQI-0010
WO-0000768,,FDR--RW-0109,REG-RW,replacement,low,cancelled,2024-05-30,2024-06-15,,16.7,11601.07,drone_team,DEP--RW-0011
WO-0000769,AST-SEQ-POL-001018,FDR-SEQ-0019,REG-SEQ,vegetation_treatment,medium,draft,2026-04-08,2026-04-23,,5.0,7276.27,substation_crew,DEP-SEQ-0002
WO-0000770,AST--RW-RIN-007179,FDR--RW-0120,REG-RW,inspection,medium,completed,2024-06-14,2024-08-05,2024-08-23,14.7,11655.46,substation_crew,DEP--RW-0011
WO-0000771,,FDR--RW-0127,REG-RW,inspection,high,cancelled,2024-05-25,2024-08-20,,24.1,7578.6,drone_team,DEP--RW-0011
WO-0000772,,FDR--RW-0127,REG-RW,storm_response,medium,scheduled,2025-04-09,2025-06-19,,34.6,15821.43,line_crew,DEP--RW-0012
WO-0000773,,FDR-TSV-0082,REG-TSV,vegetation_treatment,urgent,approved,2026-04-08,2026-07-04,,33.0,15283.85,drone_team,DEP-TSV-0008
WO-0000774,,FDR-TSV-0085,REG-TSV,inspection,high,completed,2025-02-20,2025-03-28,2025-04-09,3.4,6585.59,line_crew,DEP-TSV-0006
WO-0000775,AST-MKY-POL-002225,FDR-MKY-0043,REG-MKY,replacement,medium,completed,2026-04-14,2026-06-03,2026-06-15,30.3,13515.91,line_crew,DEP-MKY-0004
WO-0000776,,FDR-TSV-0077,REG-TSV,vegetation_treatment,medium,scheduled,2026-01-26,2026-03-11,,33.4,6702.82,drone_team,DEP-TSV-0007
WO-0000777,AST-SEQ-POL-001971,FDR-SEQ-0038,REG-SEQ,inspection,high,scheduled,2025-12-15,2025-12-26,,23.5,15173.9,drone_team,DEP-SEQ-0002
WO-0000778,AST--RW-POL-007530,FDR--RW-0124,REG-RW,repair,urgent,in_progress,2024-12-31,2025-03-03,,8.9,6228.77,substation_crew,DEP--RW-0011
WO-0000779,AST-TSV-POL-004349,FDR-TSV-0081,REG-TSV,inspection,urgent,scheduled,2025-01-11,2025-01-19,,16.6,14814.03,vegetation_crew,DEP-TSV-0008
WO-0000780,AST-SEQ-POL-000596,FDR-SEQ-0011,REG-SEQ,inspection,urgent,in_progress,2024-07-28,2024-08-15,,9.9,7447.77,drone_team,DEP-SEQ-0003
WO-0000781,AST-CQI-POL-005285,FDR-CQI-0095,REG-CQI,inspection,urgent,scheduled,2025-07-29,2025-09-07,,12.6,13134.28,line_crew,DEP-CQI-0009
WO-0000782,AST-TSV-POL-004029,FDR-TSV-0076,REG-TSV,inspection,high,scheduled,2024-09-04,2024-11-29,,6.1,12943.05,vegetation_crew,DEP-TSV-0008
WO-0000783,AST-CQI-POL-005914,FDR-CQI-0105,REG-CQI,planned_maintenance,high,completed,2024-06-15,2024-08-11,2024-08-27,31.7,8140.47,vegetation_crew,DEP-CQI-0009
WO-0000784,AST-CQI-SWI-005679,FDR-CQI-0101,REG-CQI,repair,low,completed,2026-04-02,2026-06-07,2026-06-17,11.7,15075.34,vegetation_crew,DEP-CQI-0009
WO-0000785,AST-CQI-POL-005064,FDR-CQI-0092,REG-CQI,planned_maintenance,medium,approved,2025-02-09,2025-02-11,,24.8,15044.58,line_crew,DEP-CQI-0009
WO-0000786,,FDR-MKY-0058,REG-MKY,repair,medium,completed,2024-12-22,2025-02-18,2025-03-06,23.7,11969.65,substation_crew,DEP-MKY-0005
WO-0000787,AST-CQI-TRA-005325,FDR-CQI-0095,REG-CQI,planned_maintenance,medium,cancelled,2025-11-26,2025-12-09,,8.7,3430.36,drone_team,DEP-CQI-0010
WO-0000788,AST-TSV-POL-004054,FDR-TSV-0076,REG-TSV,replacement,medium,scheduled,2025-02-23,2025-04-26,,7.7,4175.99,line_crew,DEP-TSV-0007
WO-0000789,,FDR-SEQ-0008,REG-SEQ,inspection,medium,completed,2025-07-21,2025-09-29,2025-10-18,16.8,5938.78,substation_crew,DEP-SEQ-0003
WO-0000790,AST-MKY-POL-003294,FDR-MKY-0064,REG-MKY,repair,medium,in_progress,2024-10-29,2025-01-15,,35.0,16689.66,line_crew,DEP-MKY-0005
WO-0000791,AST-SEQ-POL-000030,FDR-SEQ-0001,REG-SEQ,inspection,high,scheduled,2026-05-04,2026-05-05,,6.2,12169.76,drone_team,DEP-SEQ-0003
WO-0000792,AST-CQI-POL-005680,FDR-CQI-0101,REG-CQI,replacement,low,draft,2025-06-13,2025-06-14,,25.8,17387.58,vegetation_crew,DEP-CQI-0009
WO-0000793,AST-CQI-REC-006110,FDR-CQI-0108,REG-CQI,inspection,medium,scheduled,2024-11-30,2025-02-26,,11.7,13918.51,substation_crew,DEP-CQI-0010
WO-0000794,,FDR-MKY-0059,REG-MKY,storm_response,low,completed,2024-09-17,2024-12-04,2024-12-29,16.0,6890.68,substation_crew,DEP-MKY-0004
WO-0000795,AST-CQI-POL-005512,FDR-CQI-0098,REG-CQI,inspection,low,approved,2026-01-11,2026-03-28,,30.8,9820.96,line_crew,DEP-CQI-0009
WO-0000796,AST-MKY-POL-002708,FDR-MKY-0054,REG-MKY,repair,medium,completed,2024-09-12,2024-09-19,2024-09-27,25.7,17244.99,drone_team,DEP-MKY-0004
WO-0000797,AST--RW-POL-007944,FDR--RW-0128,REG-RW,inspection,low,completed,2025-01-02,2025-03-04,2025-03-14,10.8,7380.65,substation_crew,DEP--RW-0011
WO-0000798,AST-TSV-POL-004639,FDR-TSV-0085,REG-TSV,repair,high,in_progress,2025-02-03,2025-05-04,,26.9,8106.66,drone_team,DEP-TSV-0007
WO-0000799,AST-SEQ-TRA-001333,FDR-SEQ-0025,REG-SEQ,vegetation_treatment,medium,completed,2026-03-19,2026-04-25,2026-04-27,21.9,5982.28,vegetation_crew,DEP-SEQ-0003
WO-0000800,AST-CQI-POL-005312,FDR-CQI-0095,REG-CQI,repair,high,completed,2025-08-26,2025-11-18,2025-12-05,33.5,17856.81,drone_team,DEP-CQI-0010
WO-0000801,AST-SEQ-POL-001771,FDR-SEQ-0034,REG-SEQ,repair,low,cancelled,2024-11-08,2024-12-16,,4.5,11489.56,substation_crew,DEP-SEQ-0002
WO-0000802,AST-SEQ-TRA-001798,FDR-SEQ-0034,REG-SEQ,vegetation_treatment,medium,in_progress,2024-10-28,2024-11-30,,17.8,13590.8,line_crew,DEP-SEQ-0003
WO-0000803,,FDR-TSV-0066,REG-TSV,planned_maintenance,medium,approved,2025-04-23,2025-07-01,,3.3,6011.57,substation_crew,DEP-TSV-0007
WO-0000804,AST-MKY-POL-002685,FDR-MKY-0053,REG-MKY,access_remediation,high,scheduled,2025-06-26,2025-09-13,,17.6,14201.75,vegetation_crew,DEP-MKY-0005
WO-0000805,,FDR--RW-0126,REG-RW,inspection,low,approved,2025-01-05,2025-03-15,,5.6,9597.2,vegetation_crew,DEP--RW-0012
WO-0000806,AST-TSV-POL-004338,FDR-TSV-0081,REG-TSV,vegetation_treatment,high,cancelled,2025-09-01,2025-10-03,,3.8,10957.94,drone_team,DEP-TSV-0008
WO-0000807,,FDR-TSV-0079,REG-TSV,planned_maintenance,medium,scheduled,2024-09-07,2024-11-19,,5.1,12851.75,substation_crew,DEP-TSV-0007
WO-0000808,AST-MKY-SEC-002245,FDR-MKY-0043,REG-MKY,storm_response,high,completed,2024-10-08,2024-11-04,2024-11-18,20.8,15627.0,line_crew,DEP-MKY-0005
WO-0000809,,FDR--RW-0120,REG-RW,repair,high,in_progress,2026-04-27,2026-05-23,,4.8,2023.72,drone_team,DEP--RW-0013
WO-0000810,AST-MKY-REC-002498,FDR-MKY-0047,REG-MKY,vegetation_treatment,medium,in_progress,2024-12-02,2025-02-05,,19.9,9133.47,drone_team,DEP-MKY-0005
WO-0000811,AST-SEQ-POL-002035,FDR-SEQ-0039,REG-SEQ,vegetation_treatment,medium,scheduled,2024-08-20,2024-08-27,,30.5,12334.18,drone_team,DEP-SEQ-0003
WO-0000812,,FDR-SEQ-0039,REG-SEQ,repair,high,approved,2025-05-10,2025-07-05,,30.4,15246.91,drone_team,DEP-SEQ-0001
WO-0000813,AST-MKY-CON-002433,FDR-MKY-0047,REG-MKY,vegetation_treatment,medium,scheduled,2025-06-26,2025-08-01,,24.4,10384.36,drone_team,DEP-MKY-0004
WO-0000814,AST-MKY-POL-003277,FDR-MKY-0064,REG-MKY,access_remediation,medium,in_progress,2025-11-25,2025-12-26,,34.0,11779.25,vegetation_crew,DEP-MKY-0004
WO-0000815,AST-MKY-POL-002728,FDR-MKY-0054,REG-MKY,vegetation_treatment,medium,completed,2024-08-11,2024-08-23,2024-09-09,23.3,6505.73,vegetation_crew,DEP-MKY-0005
WO-0000816,AST-TSV-POL-004183,FDR-TSV-0078,REG-TSV,inspection,low,scheduled,2026-01-20,2026-02-24,,23.5,12626.6,drone_team,DEP-TSV-0006
WO-0000817,,FDR-CQI-0095,REG-CQI,replacement,high,scheduled,2024-12-09,2024-12-20,,16.7,9754.07,substation_crew,DEP-CQI-0009
WO-0000818,AST-CQI-SEC-005753,FDR-CQI-0102,REG-CQI,vegetation_treatment,low,in_progress,2024-11-09,2025-01-20,,23.2,9720.67,line_crew,DEP-CQI-0010
WO-0000819,AST-CQI-POL-005473,FDR-CQI-0097,REG-CQI,inspection,high,in_progress,2025-02-15,2025-03-21,,27.3,6806.29,substation_crew,DEP-CQI-0010
WO-0000820,,FDR-SEQ-0016,REG-SEQ,inspection,low,completed,2026-03-15,2026-03-16,2026-03-30,8.4,8816.62,substation_crew,DEP-SEQ-0001
WO-0000821,AST-TSV-POL-003440,FDR-TSV-0066,REG-TSV,replacement,low,approved,2026-01-25,2026-04-09,,33.8,11036.55,line_crew,DEP-TSV-0007
WO-0000822,,FDR-TSV-0081,REG-TSV,repair,urgent,in_progress,2025-02-01,2025-02-10,,17.2,13742.2,drone_team,DEP-TSV-0006
WO-0000823,AST-MKY-TRA-002350,FDR-MKY-0045,REG-MKY,vegetation_treatment,high,completed,2025-11-22,2026-02-06,2026-02-11,19.1,14739.49,line_crew,DEP-MKY-0004
WO-0000824,AST-TSV-POL-003964,FDR-TSV-0075,REG-TSV,vegetation_treatment,medium,completed,2026-03-11,2026-05-29,2026-06-12,26.6,8119.48,line_crew,DEP-TSV-0007
WO-0000825,AST--RW-POL-006747,FDR--RW-0116,REG-RW,vegetation_treatment,low,in_progress,2024-11-10,2024-12-22,,21.8,15671.88,line_crew,DEP--RW-0012
WO-0000826,AST-CQI-POL-005225,FDR-CQI-0094,REG-CQI,repair,medium,scheduled,2025-09-18,2025-10-07,,29.6,15070.4,vegetation_crew,DEP-CQI-0010
WO-0000827,,FDR--RW-0110,REG-RW,planned_maintenance,low,completed,2025-07-09,2025-08-01,2025-08-10,12.9,12588.58,drone_team,DEP--RW-0011
WO-0000828,AST-CQI-TRA-005128,FDR-CQI-0093,REG-CQI,vegetation_treatment,urgent,in_progress,2024-08-30,2024-10-06,,22.0,12630.83,line_crew,DEP-CQI-0009
WO-0000829,AST-CQI-POL-005413,FDR-CQI-0097,REG-CQI,vegetation_treatment,low,completed,2024-09-26,2024-11-15,2024-11-16,19.5,8774.53,substation_crew,DEP-CQI-0009
WO-0000830,AST-CQI-SWI-005895,FDR-CQI-0105,REG-CQI,storm_response,high,completed,2025-09-21,2025-10-06,2025-10-21,17.2,15460.0,line_crew,DEP-CQI-0010
WO-0000831,AST-TSV-POL-004273,FDR-TSV-0080,REG-TSV,inspection,high,approved,2024-05-21,2024-07-09,,14.8,13111.91,substation_crew,DEP-TSV-0006
WO-0000832,AST-SEQ-POL-001942,FDR-SEQ-0038,REG-SEQ,replacement,high,draft,2024-05-28,2024-06-02,,12.3,8791.69,line_crew,DEP-SEQ-0003
WO-0000833,AST--RW-POL-007883,FDR--RW-0127,REG-RW,repair,urgent,completed,2026-02-12,2026-03-17,2026-03-23,2.3,3858.04,substation_crew,DEP--RW-0013
WO-0000834,AST-MKY-POL-002361,FDR-MKY-0045,REG-MKY,repair,urgent,scheduled,2025-06-24,2025-09-11,,26.6,14709.14,line_crew,DEP-MKY-0004
WO-0000835,AST-SEQ-POL-000782,FDR-SEQ-0014,REG-SEQ,repair,low,in_progress,2024-11-17,2025-02-07,,24.4,6161.48,drone_team,DEP-SEQ-0003
WO-0000836,,FDR--RW-0123,REG-RW,vegetation_treatment,high,completed,2025-05-25,2025-07-04,2025-07-11,24.9,8372.84,vegetation_crew,DEP--RW-0011
WO-0000837,,FDR-CQI-0108,REG-CQI,planned_maintenance,high,completed,2025-11-28,2025-12-19,2025-12-31,22.2,14423.69,vegetation_crew,DEP-CQI-0010
WO-0000838,AST-SEQ-POL-001628,FDR-SEQ-0031,REG-SEQ,repair,medium,completed,2024-08-29,2024-10-16,2024-10-19,5.3,4702.0,drone_team,DEP-SEQ-0003
WO-0000839,AST-TSV-POL-004757,FDR-TSV-0087,REG-TSV,inspection,low,cancelled,2025-10-23,2025-11-22,,9.3,4504.92,line_crew,DEP-TSV-0008
WO-0000840,AST--RW-POL-006779,FDR--RW-0116,REG-RW,replacement,high,scheduled,2025-04-10,2025-06-26,,19.7,10256.84,substation_crew,DEP--RW-0011
WO-0000841,AST-SEQ-POL-000142,FDR-SEQ-0003,REG-SEQ,repair,medium,in_progress,2026-03-10,2026-05-03,,26.3,15751.99,line_crew,DEP-SEQ-0001
WO-0000842,,FDR-TSV-0081,REG-TSV,replacement,medium,completed,2024-08-02,2024-08-14,2024-08-31,14.7,7203.55,vegetation_crew,DEP-TSV-0008
WO-0000843,AST-TSV-TRA-003605,FDR-TSV-0069,REG-TSV,replacement,medium,scheduled,2025-05-12,2025-07-10,,4.1,3081.21,line_crew,DEP-TSV-0006
WO-0000844,AST--RW-POL-007087,FDR--RW-0119,REG-RW,repair,low,scheduled,2025-11-06,2026-01-02,,10.9,8162.43,drone_team,DEP--RW-0011
WO-0000845,,FDR-MKY-0048,REG-MKY,repair,medium,in_progress,2025-03-21,2025-04-19,,21.1,6883.46,drone_team,DEP-MKY-0005
WO-0000846,,FDR-MKY-0057,REG-MKY,vegetation_treatment,low,in_progress,2026-01-28,2026-03-15,,12.8,14559.01,substation_crew,DEP-MKY-0005
WO-0000847,AST-MKY-TRA-002971,FDR-MKY-0058,REG-MKY,repair,medium,completed,2025-05-16,2025-08-13,2025-08-24,10.7,7007.4,line_crew,DEP-MKY-0005
WO-0000848,,FDR-CQI-0105,REG-CQI,inspection,low,in_progress,2026-01-28,2026-03-23,,33.6,14739.93,vegetation_crew,DEP-CQI-0009
WO-0000849,AST--RW-TRA-007148,FDR--RW-0120,REG-RW,inspection,high,completed,2026-03-24,2026-06-20,2026-07-07,18.6,8281.02,drone_team,DEP--RW-0012
WO-0000850,AST-CQI-SEC-005753,FDR-CQI-0102,REG-CQI,repair,high,completed,2025-04-21,2025-05-12,2025-05-21,33.1,17987.57,vegetation_crew,DEP-CQI-0010
WO-0000851,AST-TSV-POL-003897,FDR-TSV-0074,REG-TSV,inspection,medium,draft,2024-08-05,2024-10-01,,14.1,8935.98,substation_crew,DEP-TSV-0008
WO-0000852,AST--RW-POL-006776,FDR--RW-0116,REG-RW,inspection,high,completed,2026-04-29,2026-06-26,2026-07-04,5.0,3683.92,substation_crew,DEP--RW-0013
WO-0000853,,FDR-SEQ-0029,REG-SEQ,vegetation_treatment,medium,in_progress,2025-02-11,2025-03-08,,27.2,11528.25,line_crew,DEP-SEQ-0003
WO-0000854,,FDR-TSV-0081,REG-TSV,planned_maintenance,medium,completed,2025-07-27,2025-10-05,2025-10-23,18.3,14073.45,substation_crew,DEP-TSV-0007
WO-0000855,AST--RW-SWI-007730,FDR--RW-0126,REG-RW,inspection,medium,scheduled,2024-06-26,2024-09-01,,29.1,12478.55,vegetation_crew,DEP--RW-0011
WO-0000856,AST-SEQ-POL-002010,FDR-SEQ-0039,REG-SEQ,vegetation_treatment,medium,scheduled,2026-04-02,2026-05-16,,12.6,11906.46,drone_team,DEP-SEQ-0001
WO-0000857,AST-CQI-TRA-005587,FDR-CQI-0099,REG-CQI,storm_response,medium,draft,2024-08-20,2024-09-23,,30.6,17584.29,substation_crew,DEP-CQI-0010
WO-0000858,,FDR-SEQ-0024,REG-SEQ,vegetation_treatment,low,in_progress,2025-12-30,2026-01-27,,6.1,3478.34,substation_crew,DEP-SEQ-0003
WO-0000859,AST-TSV-POL-004070,FDR-TSV-0077,REG-TSV,repair,medium,cancelled,2024-11-03,2025-01-24,,22.6,16828.01,vegetation_crew,DEP-TSV-0007
WO-0000860,,FDR-CQI-0105,REG-CQI,storm_response,low,completed,2025-10-18,2025-12-10,2026-01-07,9.6,11947.92,line_crew,DEP-CQI-0010
WO-0000861,AST-TSV-POL-003964,FDR-TSV-0075,REG-TSV,planned_maintenance,low,in_progress,2024-09-14,2024-09-30,,9.6,8150.31,substation_crew,DEP-TSV-0007
WO-0000862,,FDR--RW-0115,REG-RW,repair,medium,scheduled,2024-11-26,2024-12-29,,19.6,10638.08,vegetation_crew,DEP--RW-0012
WO-0000863,AST--RW-POL-006390,FDR--RW-0111,REG-RW,inspection,low,completed,2024-12-09,2025-02-18,2025-03-03,16.0,12388.2,line_crew,DEP--RW-0012
WO-0000864,AST-TSV-POL-003360,FDR-TSV-0066,REG-TSV,replacement,high,in_progress,2024-12-10,2025-01-04,,8.1,12209.49,substation_crew,DEP-TSV-0007
WO-0000865,,FDR-TSV-0069,REG-TSV,repair,high,approved,2024-09-13,2024-11-13,,27.2,10890.34,line_crew,DEP-TSV-0008
WO-0000866,AST-SEQ-POL-002061,FDR-SEQ-0040,REG-SEQ,planned_maintenance,high,completed,2025-08-24,2025-10-10,2025-10-29,17.9,9917.22,line_crew,DEP-SEQ-0001
WO-0000867,AST-MKY-TRA-002282,FDR-MKY-0044,REG-MKY,inspection,medium,scheduled,2024-10-07,2024-12-21,,32.9,17007.45,drone_team,DEP-MKY-0005
WO-0000868,AST-SEQ-POL-000245,FDR-SEQ-0005,REG-SEQ,access_remediation,urgent,approved,2024-07-28,2024-07-29,,32.9,14066.65,drone_team,DEP-SEQ-0001
WO-0000869,AST--RW-POL-006593,FDR--RW-0114,REG-RW,storm_response,medium,draft,2025-11-04,2026-01-15,,9.9,4044.81,line_crew,DEP--RW-0013
WO-0000870,AST-MKY-POL-002829,FDR-MKY-0056,REG-MKY,inspection,medium,approved,2026-02-01,2026-02-24,,30.7,15312.38,drone_team,DEP-MKY-0004
WO-0000871,AST-CQI-TRA-005391,FDR-CQI-0097,REG-CQI,planned_maintenance,low,draft,2024-09-18,2024-10-26,,22.7,15988.91,substation_crew,DEP-CQI-0009
