defect_id,inspection_id,asset_id,defect_type,severity,detected_date,target_rectification_date,status,safety_risk_score,reliability_risk_score
DEF-00001320,INS-0002950,AST-MKY-POL-003210,oil_leak,low,2025-05-28,2025-10-01,open,22.6,49.5
DEF-00001321,INS-0002950,AST-MKY-POL-003210,crossarm_corrosion,high,2025-05-28,2025-08-06,open,55.6,38.5
DEF-00001322,INS-0002951,AST-MKY-POL-002934,access_blocked,medium,2025-07-31,2025-12-02,open,8.8,26.1
DEF-00001323,INS-0002955,AST-SEQ-SEC-000296,oil_leak,medium,2024-12-29,2025-03-25,closed,43.5,32.2
DEF-00001324,INS-0002958,AST-SEQ-POL-000544,oil_leak,low,2025-05-02,2025-08-02,closed,19.8,29.4
DEF-00001325,INS-0002962,AST-TSV-TRA-004627,crossarm_corrosion,medium,2025-01-10,2025-02-14,open,30.3,18.9
DEF-00001326,INS-0002962,AST-TSV-TRA-004627,vegetation_clearance,low,2025-01-10,2025-03-18,deferred,33.7,12.1
DEF-00001327,INS-0002966,AST-CQI-TRA-004894,crossarm_corrosion,low,2025-07-17,2025-11-16,open,8.1,21.8
DEF-00001328,INS-0002970,AST-TSV-POL-004419,crossarm_corrosion,low,2025-06-05,2025-07-19,planned,38.2,42.8
DEF-00001329,INS-0002970,AST-TSV-POL-004419,crossarm_corrosion,low,2025-06-05,2025-06-14,open,32.2,10.0
DEF-00001330,INS-0002976,AST-TSV-TRA-004430,insulator_damage,high,2026-03-15,2026-06-01,planned,48.7,51.8
DEF-00001331,INS-0002979,AST--RW-SEC-006236,oil_leak,medium,2025-09-19,2025-11-17,open,15.5,33.4
DEF-00001332,INS-0002983,AST-SEQ-POL-000227,flood_damage,medium,2025-10-19,2025-11-12,closed,19.0,31.2
DEF-00001333,INS-0002987,AST-TSV-POL-004615,termite_damage,medium,2025-02-25,2025-05-12,open,15.2,23.9
DEF-00001334,INS-0002994,AST--RW-POL-007439,conductor_sag,low,2025-02-07,2025-03-15,planned,32.6,30.6
DEF-00001335,INS-0002996,AST-TSV-POL-003426,oil_leak,low,2025-04-14,2025-07-15,closed,24.0,25.9
DEF-00001336,INS-0002996,AST-TSV-POL-003426,crossarm_corrosion,medium,2025-04-14,2025-08-06,open,36.7,33.2
DEF-00001337,INS-0002998,AST--RW-POL-006432,lightning_damage,medium,2025-07-12,2025-11-24,planned,5.3,1.5
DEF-00001338,INS-0003003,AST-TSV-POL-003716,vegetation_clearance,low,2025-07-24,2025-09-15,planned,31.6,47.5
DEF-00001339,INS-0003005,AST-MKY-TRA-002988,conductor_sag,low,2025-04-10,2025-08-09,open,23.1,15.1
DEF-00001340,INS-0003005,AST-MKY-TRA-002988,crossarm_corrosion,medium,2025-04-10,2025-09-06,closed,27.1,24.0
DEF-00001341,INS-0003005,AST-MKY-TRA-002988,insulator_damage,medium,2025-04-10,2025-05-18,open,25.4,39.2
DEF-00001342,INS-0003006,AST--RW-POL-007611,crossarm_corrosion,low,2025-07-29,2025-09-02,planned,28.6,30.0
DEF-00001343,INS-0003007,AST-TSV-POL-003412,oil_leak,critical,2026-02-05,2026-03-27,planned,64.8,30.7
DEF-00001344,INS-0003007,AST-TSV-POL-003412,vegetation_clearance,critical,2026-02-05,2026-02-20,closed,58.7,37.6
DEF-00001345,INS-0003008,AST--RW-POL-006463,conductor_sag,medium,2025-04-09,2025-05-23,planned,32.8,25.9
DEF-00001346,INS-0003017,AST--RW-POL-007049,insulator_damage,low,2025-12-05,2026-01-07,closed,32.7,12.3
DEF-00001347,INS-0003021,AST-MKY-POL-003291,flood_damage,low,2025-04-23,2025-08-28,planned,33.7,8.0
DEF-00001348,INS-0003023,AST-SEQ-POL-000953,access_blocked,low,2025-09-25,2025-12-11,open,21.9,39.4
DEF-00001349,INS-0003024,AST-MKY-POL-002439,conductor_sag,medium,2026-01-23,2026-04-04,open,19.3,41.4
DEF-00001350,INS-0003025,AST-TSV-POL-003402,lightning_damage,medium,2025-02-11,2025-03-23,open,7.4,9.2
DEF-00001351,INS-0003025,AST-TSV-POL-003402,leaning_pole,medium,2025-02-11,2025-07-05,open,22.3,43.5
DEF-00001352,INS-0003025,AST-TSV-POL-003402,conductor_sag,low,2025-02-11,2025-06-05,open,20.8,16.5
DEF-00001353,INS-0003026,AST-MKY-POL-002961,access_blocked,low,2025-07-11,2025-07-29,planned,37.1,12.2
DEF-00001354,INS-0003029,AST-MKY-POL-002967,vegetation_clearance,medium,2025-12-04,2026-05-14,open,34.2,17.6
DEF-00001355,INS-0003029,AST-MKY-POL-002967,access_blocked,high,2025-12-04,2026-04-29,planned,24.5,48.5
DEF-00001356,INS-0003032,AST-TSV-SEC-004160,insulator_damage,high,2025-12-08,2026-05-23,planned,56.8,50.3
DEF-00001357,INS-0003034,AST-MKY-SWI-002415,insulator_damage,high,2025-09-20,2025-10-14,closed,52.1,70.2
DEF-00001358,INS-0003037,AST--RW-POL-006643,crossarm_corrosion,critical,2025-09-19,2025-10-12,planned,33.1,61.3
DEF-00001359,INS-0003038,AST-SEQ-POL-001490,flood_damage,low,2026-04-23,2026-07-31,closed,15.6,55.5
DEF-00001360,INS-0003039,AST-SEQ-POL-002039,access_blocked,low,2025-09-18,2026-03-01,deferred,29.0,26.8
DEF-00001361,INS-0003042,AST-SEQ-POL-002039,leaning_pole,low,2026-03-01,2026-03-23,open,26.4,26.8
DEF-00001362,INS-0003042,AST-SEQ-POL-002039,oil_leak,low,2026-03-01,2026-03-23,planned,15.1,37.5
DEF-00001363,INS-0003043,AST-TSV-POL-003972,insulator_damage,low,2024-12-08,2025-02-22,planned,23.2,33.0
DEF-00001364,INS-0003043,AST-TSV-POL-003972,lightning_damage,high,2024-12-08,2025-02-12,closed,46.3,54.5
DEF-00001365,INS-0003048,AST-TSV-POL-003511,lightning_damage,medium,2025-09-20,2026-02-19,open,17.3,23.3
DEF-00001366,INS-0003052,AST-TSV-POL-004625,lightning_damage,low,2026-02-03,2026-06-14,planned,40.5,38.1
DEF-00001367,INS-0003052,AST-TSV-POL-004625,flood_damage,low,2026-02-03,2026-08-01,closed,51.7,25.5
DEF-00001368,INS-0003053,AST-SEQ-RIN-001639,conductor_sag,medium,2025-12-10,2026-02-28,open,23.1,21.0
DEF-00001369,INS-0003058,AST-TSV-POL-004138,termite_damage,low,2025-08-09,2025-09-23,planned,18.8,20.8
DEF-00001370,INS-0003059,AST-SEQ-POL-001820,crossarm_corrosion,medium,2026-03-07,2026-03-26,open,31.3,38.7
DEF-00001371,INS-0003061,AST-CQI-POL-005503,oil_leak,critical,2025-06-18,2025-09-26,planned,32.8,56.4
DEF-00001372,INS-0003063,AST-TSV-CON-003974,insulator_damage,low,2025-12-29,2026-02-11,open,23.0,18.7
DEF-00001373,INS-0003066,AST-CQI-POL-005925,insulator_damage,medium,2025-08-25,2026-02-12,open,17.1,28.9
DEF-00001374,INS-0003070,AST-SEQ-POL-000395,conductor_sag,low,2026-01-18,2026-02-23,closed,20.4,27.7
DEF-00001375,INS-0003072,AST--RW-POL-006830,flood_damage,high,2026-03-08,2026-08-15,open,67.0,44.9
DEF-00001376,INS-0003073,AST-CQI-POL-005667,oil_leak,low,2026-01-28,2026-04-28,deferred,52.8,18.3
DEF-00001377,INS-0003077,AST-TSV-POL-003894,flood_damage,low,2026-05-12,2026-09-23,planned,33.8,23.9
DEF-00001378,INS-0003079,AST--RW-POL-006126,leaning_pole,medium,2025-09-08,2025-09-19,closed,20.6,27.7
DEF-00001379,INS-0003082,AST-CQI-SWI-005205,access_blocked,high,2025-04-23,2025-06-03,open,55.1,46.3
DEF-00001380,INS-0003084,AST-SEQ-REC-000405,flood_damage,medium,2025-11-24,2026-01-17,planned,24.9,42.6
DEF-00001381,INS-0003086,AST-MKY-POL-002692,oil_leak,low,2025-01-11,2025-06-09,open,44.9,9.0
DEF-00001382,INS-0003087,AST-TSV-POL-004281,lightning_damage,medium,2025-07-23,2026-01-01,deferred,20.0,51.5
DEF-00001383,INS-0003089,AST-SEQ-REC-001488,vegetation_clearance,medium,2025-10-07,2025-11-21,open,34.3,22.3
DEF-00001384,INS-0003097,AST-CQI-POL-005851,access_blocked,low,2026-03-28,2026-08-24,open,14.2,1
DEF-00001385,INS-0003097,AST-CQI-POL-005851,lightning_damage,medium,2026-03-28,2026-07-28,closed,8.2,13.5
DEF-00001386,INS-0003099,AST-SEQ-POL-000684,insulator_damage,low,2025-01-24,2025-02-25,planned,33.5,20.0
DEF-00001387,INS-0003100,AST-TSV-POL-003671,termite_damage,low,2025-07-22,2025-08-05,planned,23.5,29.2
DEF-00001388,INS-0003107,AST-SEQ-SEC-000249,conductor_sag,low,2024-12-25,2025-01-07,open,16.1,21.2
DEF-00001389,INS-0003109,AST-MKY-POL-002941,termite_damage,high,2025-05-09,2025-08-10,planned,45.4,48.2
DEF-00001390,INS-0003110,AST-SEQ-POL-000541,conductor_sag,critical,2025-09-13,2025-10-13,open,49.6,47.3
DEF-00001391,INS-0003112,AST-TSV-POL-003385,oil_leak,critical,2025-01-02,2025-03-24,open,38.7,62.1
DEF-00001392,INS-0003112,AST-TSV-POL-003385,oil_leak,high,2025-01-02,2025-03-12,planned,52.1,48.5
DEF-00001393,INS-0003114,AST--RW-TRA-007320,insulator_damage,low,2025-08-06,2025-08-21,planned,34.7,24.3
DEF-00001394,INS-0003120,AST-MKY-SWI-002849,flood_damage,low,2026-03-20,2026-04-16,planned,15.8,35.6
DEF-00001395,INS-0003123,AST-TSV-TRA-004373,conductor_sag,low,2025-08-15,2025-11-07,open,19.4,22.2
DEF-00001396,INS-0003125,AST--RW-POL-006770,flood_damage,low,2025-01-05,2025-06-02,planned,28.2,14.6
DEF-00001397,INS-0003128,AST--RW-POL-006200,crossarm_corrosion,critical,2025-06-03,2025-10-23,open,59.7,64.9
DEF-00001398,INS-0003138,AST-SEQ-TRA-002179,vegetation_clearance,critical,2024-12-26,2025-02-01,open,56.8,47.3
DEF-00001399,INS-0003139,AST-SEQ-SEC-001673,access_blocked,low,2025-07-20,2025-08-04,open,22.7,31.0
DEF-00001400,INS-0003144,AST-SEQ-TRA-000539,leaning_pole,medium,2025-04-08,2025-04-24,open,14.7,14.0
DEF-00001401,INS-0003145,AST-CQI-SWI-005669,oil_leak,medium,2026-02-24,2026-08-10,planned,35.9,3.9
DEF-00001402,INS-0003148,AST-MKY-POL-002528,conductor_sag,low,2025-09-18,2026-01-31,closed,27.1,17.1
DEF-00001403,INS-0003150,AST-SEQ-POL-000546,insulator_damage,low,2026-02-14,2026-07-08,planned,17.1,17.7
DEF-00001404,INS-0003150,AST-SEQ-POL-000546,conductor_sag,low,2026-02-14,2026-06-10,deferred,32.1,35.2
DEF-00001405,INS-0003152,AST--RW-SEC-007912,oil_leak,low,2025-04-23,2025-09-16,closed,5.7,27.7
DEF-00001406,INS-0003152,AST--RW-SEC-007912,insulator_damage,medium,2025-04-23,2025-07-21,closed,20.8,4.3
DEF-00001407,INS-0003153,AST-CQI-POL-005251,flood_damage,medium,2025-04-14,2025-07-25,planned,19.1,24.7
DEF-00001408,INS-0003154,AST-MKY-SEC-002978,leaning_pole,low,2026-03-08,2026-04-25,closed,33.6,16.6
DEF-00001409,INS-0003154,AST-MKY-SEC-002978,access_blocked,high,2026-03-08,2026-05-01,planned,58.4,25.5
DEF-00001410,INS-0003159,AST-MKY-POL-002528,crossarm_corrosion,low,2025-02-02,2025-07-31,open,50.7,34.6
DEF-00001411,INS-0003162,AST-SEQ-POL-001002,lightning_damage,high,2025-03-19,2025-05-22,planned,29.4,55.9
DEF-00001412,INS-0003172,AST-MKY-TRA-002794,termite_damage,low,2025-04-08,2025-05-11,planned,29.3,20.4
DEF-00001413,INS-0003173,AST-TSV-POL-004294,access_blocked,medium,2025-05-12,2025-10-13,open,18.5,17.6
DEF-00001414,INS-0003174,AST-TSV-CON-004159,conductor_sag,medium,2025-06-14,2025-09-22,open,8.6,43.2
DEF-00001415,INS-0003178,AST-MKY-POL-003172,conductor_sag,medium,2025-12-18,2026-02-28,closed,51.3,38.3
DEF-00001416,INS-0003179,AST-TSV-POL-003393,insulator_damage,medium,2026-01-26,2026-05-18,closed,12.1,29.6
DEF-00001417,INS-0003180,AST-SEQ-POL-001387,termite_damage,low,2025-07-04,2025-10-24,open,32.4,43.6
DEF-00001418,INS-0003183,AST--RW-POL-006760,conductor_sag,high,2025-06-06,2025-06-21,deferred,34.8,43.3
DEF-00001419,INS-0003184,AST-SEQ-POL-001105,lightning_damage,medium,2025-03-27,2025-08-26,deferred,12.1,29.5
DEF-00001420,INS-0003185,AST-TSV-POL-003360,termite_damage,low,2026-03-21,2026-07-28,deferred,18.7,37.6
DEF-00001421,INS-0003186,AST-TSV-TRA-004821,access_blocked,low,2025-07-09,2025-09-11,closed,24.6,38.2
DEF-00001422,INS-0003195,AST-TSV-POL-003388,vegetation_clearance,critical,2025-02-25,2025-06-19,closed,55.8,54.6
DEF-00001423,INS-0003196,AST-SEQ-POL-001840,leaning_pole,medium,2025-08-09,2025-11-07,open,15.9,17.9
DEF-00001424,INS-0003199,AST-MKY-POL-003155,insulator_damage,low,2025-02-18,2025-03-11,planned,1.0,9.7
DEF-00001425,INS-0003207,AST-SEQ-CON-000642,lightning_damage,low,2025-10-26,2025-12-23,closed,22.5,53.9
DEF-00001426,INS-0003211,AST-SEQ-POL-000792,access_blocked,high,2026-01-24,2026-07-22,closed,44.0,82.5
DEF-00001427,INS-0003212,AST-CQI-SWI-005702,leaning_pole,high,2024-12-08,2025-03-15,planned,31.8,46.5
DEF-00001428,INS-0003217,AST--RW-POL-006212,vegetation_clearance,critical,2025-04-30,2025-10-19,open,56.2,70.3
DEF-00001429,INS-0003219,AST-MKY-POL-002361,termite_damage,low,2025-01-07,2025-04-17,planned,19.0,22.5
DEF-00001430,INS-0003220,AST-SEQ-SEC-001425,vegetation_clearance,medium,2025-11-01,2026-01-15,planned,18.4,30.3
DEF-00001431,INS-0003221,AST-MKY-POL-002212,access_blocked,high,2025-05-17,2025-09-10,planned,58.6,39.9
DEF-00001432,INS-0003224,AST-SEQ-POL-000925,vegetation_clearance,low,2024-12-03,2025-02-13,planned,22.5,42.1
DEF-00001433,INS-0003226,AST-MKY-REC-003198,leaning_pole,high,2025-06-15,2025-10-15,closed,65.4,46.6
DEF-00001434,INS-0003226,AST-MKY-REC-003198,termite_damage,low,2025-06-15,2025-11-09,planned,19.3,33.1
DEF-00001435,INS-0003227,AST--RW-POL-007580,vegetation_clearance,medium,2025-10-15,2026-02-19,deferred,26.4,30.2
DEF-00001436,INS-0003227,AST--RW-POL-007580,conductor_sag,low,2025-10-15,2026-02-15,open,40.1,7.2
DEF-00001437,INS-0003230,AST-TSV-POL-003473,crossarm_corrosion,medium,2025-02-12,2025-03-13,closed,36.3,25.9
DEF-00001438,INS-0003231,AST-MKY-POL-002287,vegetation_clearance,high,2025-08-01,2025-08-28,planned,44.0,73.1
DEF-00001439,INS-0003233,AST--RW-TRA-007467,access_blocked,low,2025-04-12,2025-08-30,closed,23.6,35.8
DEF-00001440,INS-0003234,AST-MKY-POL-002933,vegetation_clearance,low,2024-12-19,2025-01-22,open,36.3,37.2
DEF-00001441,INS-0003235,AST-MKY-TRA-002988,flood_damage,medium,2024-12-22,2025-03-09,open,28.4,33.7
DEF-00001442,INS-0003235,AST-MKY-TRA-002988,access_blocked,critical,2024-12-22,2025-02-11,planned,37.5,33.9
DEF-00001443,INS-0003242,AST-MKY-POL-003062,crossarm_corrosion,critical,2025-10-21,2026-01-28,planned,60.4,51.0
DEF-00001444,INS-0003243,AST-CQI-POL-005230,conductor_sag,medium,2025-02-03,2025-06-17,closed,18.5,28.7
DEF-00001445,INS-0003244,AST--RW-POL-007602,vegetation_clearance,critical,2025-03-22,2025-05-12,planned,60.6,65.5
DEF-00001446,INS-0003245,AST-CQI-TRA-005716,crossarm_corrosion,high,2025-04-18,2025-05-24,closed,41.9,62.1
DEF-00001447,INS-0003247,AST-MKY-CON-002320,vegetation_clearance,low,2026-04-01,2026-07-23,open,21.9,32.2
DEF-00001448,INS-0003249,AST-SEQ-RIN-000729,termite_damage,high,2026-02-12,2026-03-20,closed,63.9,56.4
DEF-00001449,INS-0003250,AST-MKY-TRA-003200,oil_leak,low,2025-08-19,2025-11-07,open,26.0,34.5
DEF-00001450,INS-0003250,AST-MKY-TRA-003200,access_blocked,low,2025-08-19,2025-12-12,open,32.3,1.2
DEF-00001451,INS-0003251,AST-TSV-POL-004113,lightning_damage,medium,2025-07-04,2025-11-12,open,37.6,21.2
DEF-00001452,INS-0003256,AST-TSV-POL-004824,oil_leak,high,2025-08-10,2025-12-29,deferred,52.7,52.7
DEF-00001453,INS-0003262,AST--RW-POL-007469,leaning_pole,low,2025-03-20,2025-04-09,deferred,20.6,30.4
DEF-00001454,INS-0003262,AST--RW-POL-007469,crossarm_corrosion,low,2025-03-20,2025-06-04,closed,24.8,27.5
DEF-00001455,INS-0003267,AST-MKY-TRA-002954,lightning_damage,medium,2025-06-10,2025-11-27,open,11.1,24.0
DEF-00001456,INS-0003269,AST-CQI-POL-005399,leaning_pole,high,2025-12-17,2025-12-30,closed,48.2,58.6
DEF-00001457,INS-0003271,AST--RW-SEC-006764,access_blocked,medium,2026-04-09,2026-08-30,open,11.4,31.7
DEF-00001458,INS-0003271,AST--RW-SEC-006764,termite_damage,high,2026-04-09,2026-05-29,closed,45.5,58.7
DEF-00001459,INS-0003272,AST-MKY-TRA-003101,insulator_damage,low,2026-04-24,2026-09-23,open,32.6,34.4
DEF-00001460,INS-0003272,AST-MKY-TRA-003101,lightning_damage,low,2026-04-24,2026-05-26,open,29.6,28.0
DEF-00001461,INS-0003275,AST-TSV-POL-003799,leaning_pole,low,2026-03-06,2026-06-08,closed,9.1,27.2
DEF-00001462,INS-0003277,AST-TSV-POL-003671,vegetation_clearance,critical,2025-01-24,2025-06-09,open,65.4,53.8
DEF-00001463,INS-0003277,AST-TSV-POL-003671,insulator_damage,medium,2025-01-24,2025-03-03,planned,32.2,20.2
DEF-00001464,INS-0003279,AST-TSV-TRA-003395,lightning_damage,low,2025-05-02,2025-10-23,open,26.2,25.0
DEF-00001465,INS-0003279,AST-TSV-TRA-003395,leaning_pole,medium,2025-05-02,2025-08-01,closed,44.6,35.3
DEF-00001466,INS-0003285,AST-CQI-SEC-005502,termite_damage,low,2025-06-16,2025-11-11,open,36.4,25.0
DEF-00001467,INS-0003286,AST-TSV-SEC-004348,flood_damage,high,2025-05-05,2025-10-17,open,42.2,37.5
DEF-00001468,INS-0003286,AST-TSV-SEC-004348,termite_damage,medium,2025-05-05,2025-10-19,open,57.4,21.0
DEF-00001469,INS-0003287,AST-CQI-POL-005009,flood_damage,low,2025-07-06,2025-11-22,planned,4.1,10.5
DEF-00001470,INS-0003289,AST--RW-POL-007049,vegetation_clearance,medium,2026-01-08,2026-04-21,planned,12.5,23.9
DEF-00001471,INS-0003292,AST-MKY-POL-002380,termite_damage,medium,2025-01-02,2025-02-23,open,17.0,10.4
DEF-00001472,INS-0003295,AST-SEQ-POL-001279,vegetation_clearance,critical,2025-04-04,2025-08-09,closed,63.4,66.6
DEF-00001473,INS-0003301,AST--RW-SWI-007135,leaning_pole,low,2025-07-18,2025-12-16,closed,31.2,35.1
DEF-00001474,INS-0003302,AST-CQI-POL-006010,termite_damage,medium,2026-01-31,2026-06-29,planned,19.1,28.1
DEF-00001475,INS-0003306,AST-TSV-POL-004622,leaning_pole,high,2025-06-03,2025-10-31,closed,53.4,53.7
DEF-00001476,INS-0003308,AST-MKY-POL-003172,vegetation_clearance,medium,2025-11-13,2025-12-11,open,28.4,8.7
DEF-00001477,INS-0003308,AST-MKY-POL-003172,flood_damage,high,2025-11-13,2025-12-30,open,34.7,50.0
DEF-00001478,INS-0003308,AST-MKY-POL-003172,insulator_damage,medium,2025-11-13,2026-05-07,open,39.2,18.1
DEF-00001479,INS-0003309,AST-TSV-POL-004375,access_blocked,low,2025-07-06,2025-09-11,open,41.1,22.7
DEF-00001480,INS-0003311,AST--RW-POL-007522,lightning_damage,low,2025-06-23,2025-07-02,closed,28.1,23.2
DEF-00001481,INS-0003312,AST-SEQ-POL-000667,insulator_damage,critical,2025-03-25,2025-09-14,deferred,57.2,69.0
DEF-00001482,INS-0003315,AST--RW-POL-007529,crossarm_corrosion,high,2024-12-13,2025-02-06,open,39.6,62.6
DEF-00001483,INS-0003321,AST--RW-POL-007676,access_blocked,low,2025-02-24,2025-03-12,closed,22.7,9.0
DEF-00001484,INS-0003322,AST-TSV-POL-003783,lightning_damage,low,2025-04-10,2025-05-10,open,29.6,38.5
DEF-00001485,INS-0003323,AST--RW-REC-007851,flood_damage,critical,2025-02-17,2025-03-06,planned,57.1,44.2
DEF-00001486,INS-0003333,AST--RW-SWI-006318,lightning_damage,low,2026-02-23,2026-03-11,planned,9.7,23.1
DEF-00001487,INS-0003339,AST-TSV-CON-004728,insulator_damage,medium,2026-01-17,2026-04-13,open,1,35.1
DEF-00001488,INS-0003344,AST-TSV-POL-003620,oil_leak,high,2025-08-05,2025-08-19,open,49.1,57.2
DEF-00001489,INS-0003348,AST--RW-POL-007027,vegetation_clearance,low,2025-08-19,2025-12-18,planned,42.2,29.5
DEF-00001490,INS-0003349,AST-MKY-POL-002763,insulator_damage,high,2025-01-28,2025-06-26,open,66.7,69.5
DEF-00001491,INS-0003350,AST-SEQ-POL-001736,lightning_damage,high,2026-03-07,2026-07-04,open,41.0,43.2
DEF-00001492,INS-0003350,AST-SEQ-POL-001736,leaning_pole,medium,2026-03-07,2026-08-22,open,11.8,18.9
DEF-00001493,INS-0003351,AST--RW-POL-007778,leaning_pole,medium,2025-08-15,2025-08-30,planned,25.3,18.1
DEF-00001494,INS-0003353,AST-MKY-RIN-002942,lightning_damage,medium,2024-12-04,2025-02-22,deferred,14.8,41.1
DEF-00001495,INS-0003354,AST-TSV-TRA-004432,conductor_sag,medium,2025-10-23,2026-01-20,closed,35.5,33.7
DEF-00001496,INS-0003356,AST-SEQ-POL-000387,lightning_damage,low,2026-01-03,2026-06-05,closed,25.3,26.6
DEF-00001497,INS-0003362,AST-SEQ-POL-000787,vegetation_clearance,high,2025-04-21,2025-05-10,closed,54.9,55.3
DEF-00001498,INS-0003364,AST-MKY-POL-002371,access_blocked,medium,2025-07-19,2026-01-15,open,22.4,23.1
DEF-00001499,INS-0003369,AST-TSV-SEC-003927,crossarm_corrosion,high,2025-08-22,2025-08-30,open,52.5,47.3
DEF-00001500,INS-0003370,AST-TSV-POL-003391,crossarm_corrosion,high,2025-01-29,2025-07-28,open,55.6,57.4
DEF-00001501,INS-0003371,AST-SEQ-POL-000977,oil_leak,high,2025-04-25,2025-10-18,planned,35.3,43.4
DEF-00001502,INS-0003371,AST-SEQ-POL-000977,lightning_damage,high,2025-04-25,2025-05-21,planned,40.0,48.5
DEF-00001503,INS-0003375,AST-TSV-POL-003341,access_blocked,low,2025-11-09,2026-04-11,planned,4.8,34.8
DEF-00001504,INS-0003375,AST-TSV-POL-003341,leaning_pole,high,2025-11-09,2026-04-02,open,36.9,63.6
DEF-00001505,INS-0003376,AST-TSV-TRA-004211,oil_leak,high,2025-10-29,2026-04-15,closed,65.8,69.4
DEF-00001506,INS-0003378,AST-TSV-POL-004372,insulator_damage,medium,2025-12-12,2026-05-05,open,46.6,28.5
DEF-00001507,INS-0003380,AST-TSV-POL-004575,insulator_damage,low,2026-02-26,2026-08-17,planned,43.7,34.2
DEF-00001508,INS-0003382,AST-SEQ-POL-000971,leaning_pole,medium,2025-01-21,2025-04-09,open,26.0,33.5
DEF-00001509,INS-0003383,AST-CQI-SWI-004926,termite_damage,medium,2025-11-09,2026-03-24,planned,28.7,15.2
DEF-00001510,INS-0003383,AST-CQI-SWI-004926,termite_damage,low,2025-11-09,2025-12-26,planned,13.2,35.4
DEF-00001511,INS-0003385,AST-SEQ-TRA-000196,crossarm_corrosion,high,2026-01-13,2026-03-31,open,29.0,55.2
DEF-00001512,INS-0003389,AST-TSV-POL-004497,crossarm_corrosion,medium,2026-01-02,2026-01-11,open,34.1,28.6
DEF-00001513,INS-0003390,AST-CQI-POL-005940,crossarm_corrosion,low,2025-04-07,2025-09-12,closed,20.9,1
DEF-00001514,INS-0003391,AST-SEQ-SEC-000352,conductor_sag,high,2025-01-14,2025-02-14,open,29.1,52.3
DEF-00001515,INS-0003393,AST-TSV-POL-003537,access_blocked,low,2026-01-13,2026-03-08,open,26.4,21.5
DEF-00001516,INS-0003403,AST-TSV-POL-003485,conductor_sag,low,2025-04-24,2025-09-21,open,25.4,33.6
DEF-00001517,INS-0003404,AST-SEQ-SEC-000138,oil_leak,medium,2025-09-28,2026-03-12,closed,36.6,28.3
DEF-00001518,INS-0003405,AST-MKY-CON-002936,insulator_damage,high,2025-09-20,2026-01-24,open,36.2,53.9
DEF-00001519,INS-0003405,AST-MKY-CON-002936,conductor_sag,low,2025-09-20,2026-01-04,planned,39.8,9.4
DEF-00001520,INS-0003405,AST-MKY-CON-002936,lightning_damage,low,2025-09-20,2025-12-28,open,42.8,35.5
DEF-00001521,INS-0003408,AST-SEQ-TRA-000923,oil_leak,low,2025-02-09,2025-07-01,planned,1.5,24.7
DEF-00001522,INS-0003409,AST-SEQ-POL-000718,conductor_sag,medium,2025-10-28,2025-12-18,open,41.3,21.1
DEF-00001523,INS-0003410,AST-MKY-POL-003172,lightning_damage,medium,2026-01-10,2026-02-12,open,20.6,45.1
DEF-00001524,INS-0003415,AST-CQI-POL-005243,vegetation_clearance,low,2024-12-06,2025-01-18,open,2.2,43.6
DEF-00001525,INS-0003417,AST-MKY-SWI-003115,lightning_damage,medium,2026-01-22,2026-03-09,closed,38.9,38.4
DEF-00001526,INS-0003420,AST--RW-POL-007292,access_blocked,medium,2025-11-17,2026-01-11,open,53.9,23.1
DEF-00001527,INS-0003423,AST--RW-POL-007085,crossarm_corrosion,medium,2024-11-29,2025-03-15,planned,27.6,14.2
DEF-00001528,INS-0003424,AST-CQI-CON-005837,oil_leak,low,2026-03-24,2026-08-25,open,32.5,16.3
DEF-00001529,INS-0003426,AST-TSV-TRA-003424,vegetation_clearance,low,2025-10-29,2026-01-17,closed,18.5,24.9
DEF-00001530,INS-0003431,AST-SEQ-SEC-001651,crossarm_corrosion,critical,2025-11-30,2026-05-13,closed,39.1,57.1
DEF-00001531,INS-0003431,AST-SEQ-SEC-001651,crossarm_corrosion,low,2025-11-30,2026-01-12,open,40.6,42.4
DEF-00001532,INS-0003434,AST--RW-POL-006828,conductor_sag,low,2025-03-11,2025-08-17,closed,32.6,23.0
DEF-00001533,INS-0003436,AST-MKY-CON-003177,leaning_pole,high,2025-11-27,2026-03-12,open,46.8,37.5
DEF-00001534,INS-0003437,AST-MKY-POL-002708,termite_damage,medium,2025-04-24,2025-05-01,open,20.9,13.9
DEF-00001535,INS-0003445,AST--RW-REC-006625,termite_damage,medium,2025-04-09,2025-06-29,deferred,1,49.1
DEF-00001536,INS-0003446,AST-TSV-POL-003902,lightning_damage,medium,2024-12-14,2025-01-10,open,26.2,19.7
DEF-00001537,INS-0003446,AST-TSV-POL-003902,vegetation_clearance,low,2024-12-14,2025-04-02,closed,15.8,19.1
DEF-00001538,INS-0003447,AST-CQI-POL-005695,termite_damage,high,2025-02-05,2025-07-23,planned,47.8,62.2
DEF-00001539,INS-0003448,AST--RW-TRA-007326,conductor_sag,low,2025-06-17,2025-07-03,planned,2.4,32.9
DEF-00001540,INS-0003449,AST-SEQ-TRA-000603,insulator_damage,low,2026-03-20,2026-06-30,open,21.1,25.2
DEF-00001541,INS-0003451,AST-CQI-TRA-005650,flood_damage,medium,2026-03-13,2026-04-14,planned,32.3,32.7
DEF-00001542,INS-0003459,AST-TSV-POL-004842,leaning_pole,low,2026-05-09,2026-09-29,open,15.2,19.2
